Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Exit_Sub_Main,Exit_Exit_Sub1,Exit_Exit_Sub2,Exit_Exit_Sub3,Exit_Group 5639,Zone_ZoneSensor stair (10),Zone_ZoneSensor stair (9),Zone_ZoneSensor stair (8),Zone_ZoneSensor stair (7),Zone_ZoneSensor stair (6),Zone_ZoneSensor stair (5),Zone_ZoneSensor stair (4),Zone_ZoneSensor stair (3),Zone_ZoneSensor stair (2),Zone_ZoneSensor stair (1),Zone_ZoneSensor (1),Zone_ZoneSensor stair
0.00,0,250,0.0000,0,101,26,45,25,53,0,0,0,0,0,0,0,0,0,0,0,0
1.01,2,248,0.0048,0,101,26,45,25,51,0,0,0,0,0,0,0,0,0,0,0,0
2.02,2,248,0.0097,0,101,26,45,25,51,0,0,0,0,0,0,0,0,0,0,0,0
3.04,2,248,0.0161,0,101,26,45,25,51,0,0,0,0,0,0,0,0,0,0,0,0
4.04,2,248,0.0233,0,101,26,45,25,51,0,0,0,0,0,0,0,0,0,0,0,0
5.05,2,248,0.0372,0,101,26,45,25,51,0,0,0,0,0,0,0,0,0,0,0,0
6.07,2,248,0.0478,0,101,26,45,25,51,0,0,0,0,0,0,0,0,0,0,0,0
7.07,2,248,0.0591,0,101,26,45,25,51,0,0,0,0,0,0,0,0,0,0,0,0
8.07,2,248,0.0670,0,101,26,45,25,51,0,0,0,0,0,0,0,0,0,0,0,0
9.07,2,248,0.0800,0,101,26,45,25,51,0,0,0,0,0,0,0,0,0,0,0,0
10.08,2,248,0.0935,0,101,26,45,25,51,0,0,0,0,0,0,0,0,0,0,0,0
11.09,2,248,0.0959,0,101,26,45,25,51,0,0,0,0,0,0,0,0,0,0,0,0
12.09,2,248,0.1110,0,101,26,45,25,51,0,0,0,0,0,0,0,0,0,0,0,0
13.10,2,248,0.1147,0,101,26,45,25,51,0,0,0,0,0,0,0,0,0,0,0,0
14.10,2,248,0.1428,0,101,26,45,25,51,0,0,0,0,0,0,0,0,0,0,0,0
15.12,2,248,0.1508,0,101,26,45,25,51,0,0,0,0,0,0,0,0,0,0,0,0
16.13,2,248,0.1653,0,101,26,45,25,51,0,0,0,0,0,0,0,0,0,0,0,0
