Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Exit_Sub_Main,Exit_Exit_Sub1,Exit_Exit_Sub2,Exit_Exit_Sub3,Exit_Group 5639,Zone_ZoneSensor stair (10),Zone_ZoneSensor stair (9),Zone_ZoneSensor stair (8),Zone_ZoneSensor stair (7),Zone_ZoneSensor stair (6),Zone_ZoneSensor stair (5),Zone_ZoneSensor stair (4),Zone_ZoneSensor stair (3),Zone_ZoneSensor stair (2),Zone_ZoneSensor stair (1),Zone_ZoneSensor (1),Zone_ZoneSensor stair
0.00,0,750,0.0000,38,328,56,133,67,166,0,0,0,0,0,0,0,0,0,0,38,0
1.03,0,750,0.0013,38,328,56,133,67,166,0,0,0,0,0,0,0,0,0,0,38,0
2.06,0,750,0.0064,38,328,56,133,67,166,0,0,0,0,0,0,0,0,0,0,38,0
3.09,0,750,0.0068,38,328,56,133,67,166,0,0,0,0,0,0,0,0,0,0,38,0
4.09,0,750,0.0098,38,328,56,133,67,166,0,0,0,0,0,0,0,0,0,0,38,0
5.10,0,750,0.0145,38,328,56,133,67,166,0,0,0,0,0,0,0,0,0,0,38,0
6.10,0,750,0.0176,38,328,56,133,67,166,0,0,0,0,0,0,0,0,0,0,38,0
7.11,0,750,0.0183,38,328,56,133,67,166,0,0,0,0,0,0,0,0,0,0,38,0
8.14,0,750,0.0252,38,328,56,133,67,166,0,0,0,0,0,0,0,0,0,0,38,0
9.15,0,750,0.0424,38,328,56,133,67,166,0,0,0,0,0,0,0,0,0,0,38,0
10.16,0,750,0.0272,38,328,56,133,67,166,0,0,0,0,0,0,0,0,0,0,38,0
11.16,0,750,0.0284,38,328,56,133,67,166,0,0,0,0,0,0,0,0,0,0,38,0
12.17,1,749,0.0334,38,328,56,133,67,165,0,0,0,0,0,0,0,0,0,0,38,0
13.18,1,749,0.0359,38,328,56,133,67,165,0,0,0,0,0,0,0,0,0,0,38,0
14.19,1,749,0.0341,38,328,56,133,67,165,0,0,0,0,0,0,0,0,0,0,38,0
15.19,1,749,0.0357,38,328,56,133,67,165,0,0,0,0,0,0,0,0,0,0,38,0
16.19,1,749,0.0354,38,328,56,133,67,165,0,0,0,0,0,0,0,0,0,0,38,0
17.21,2,748,0.0400,38,328,56,133,67,164,0,0,0,0,0,0,0,0,0,0,38,0
18.24,2,748,0.0424,38,328,56,133,67,164,0,0,0,0,0,0,0,0,0,0,38,0
19.25,2,748,0.0430,38,328,56,133,67,164,0,0,0,0,0,0,0,0,0,0,38,0
20.27,2,748,0.0487,38,328,56,133,67,164,0,0,0,0,0,0,0,0,0,0,38,0
21.28,2,748,0.0491,38,328,56,133,67,164,0,0,0,0,0,0,0,0,0,0,38,0
22.30,2,748,0.0469,38,328,56,133,67,164,0,0,0,0,0,0,0,0,0,0,38,0
23.32,2,748,0.0509,38,328,56,133,67,164,0,0,0,0,0,0,0,0,0,0,38,0
24.33,2,748,0.0522,38,328,56,133,67,164,0,0,0,0,0,0,0,0,0,0,38,0
25.34,2,748,0.0531,38,328,56,133,67,164,0,0,0,0,0,0,0,0,0,0,38,0
26.35,2,748,0.0587,38,328,56,133,67,164,0,0,0,0,0,0,0,0,0,0,38,0
27.35,3,747,0.0624,38,328,56,132,67,164,0,0,0,0,0,0,0,0,0,0,38,0
28.37,3,747,0.0627,38,328,56,132,67,164,0,0,0,0,0,0,0,0,0,0,38,0
29.37,3,747,0.0668,38,328,56,132,67,164,0,0,0,0,0,0,0,0,0,0,38,0
30.39,3,747,0.0695,38,328,56,132,67,164,0,0,0,0,0,0,0,0,0,0,38,0
31.45,3,747,0.0760,38,328,56,132,67,164,0,0,0,0,0,0,0,0,0,0,38,0
32.46,3,747,0.0764,38,328,56,132,67,164,0,0,0,0,0,0,0,0,0,0,38,0
33.48,3,747,0.0794,38,328,56,132,67,164,0,0,0,2,0,0,0,0,0,0,38,0
