Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Exit_Sub_Main,Exit_Exit_Sub1,Exit_Exit_Sub2,Exit_Exit_Sub3,Exit_Group 5639,Zone_ZoneSensor stair (10),Zone_ZoneSensor stair (9),Zone_ZoneSensor stair (8),Zone_ZoneSensor stair (7),Zone_ZoneSensor stair (6),Zone_ZoneSensor stair (5),Zone_ZoneSensor stair (4),Zone_ZoneSensor stair (3),Zone_ZoneSensor stair (2),Zone_ZoneSensor stair (1),Zone_ZoneSensor (1),Zone_ZoneSensor stair
0.00,0,500,0.0000,0,211,43,84,57,105,0,0,0,0,0,0,0,0,0,0,0,0
1.02,2,498,0.0000,0,211,43,84,57,103,0,0,0,0,0,0,0,0,0,0,0,0
2.04,2,498,0.0024,0,211,43,84,57,103,0,0,0,0,0,0,0,0,0,0,0,0
3.06,2,498,0.0072,0,211,43,84,57,103,0,0,0,0,0,0,0,0,0,0,0,0
4.08,2,498,0.0095,0,211,43,84,57,103,0,0,0,0,0,0,0,0,0,0,0,0
5.10,2,498,0.0121,0,211,43,84,57,103,0,0,0,0,0,0,0,0,0,0,0,0
6.11,2,498,0.0161,0,211,43,84,57,103,0,0,0,0,0,0,0,0,0,0,0,0
7.12,2,498,0.0255,0,211,43,84,57,103,0,0,0,0,0,0,0,0,0,0,0,0
8.14,2,498,0.0245,0,211,43,84,57,103,0,0,0,0,0,0,0,0,0,0,0,0
9.16,2,498,0.0277,0,211,43,84,57,103,0,0,0,0,0,0,0,0,0,0,0,0
10.17,2,498,0.0324,0,211,43,84,57,103,0,0,0,0,0,0,0,0,0,0,0,0
11.19,2,498,0.0353,0,211,43,84,57,103,0,0,0,0,0,0,0,0,0,0,0,0
12.21,2,498,0.0496,0,211,43,84,57,103,0,0,0,0,0,0,0,0,0,0,0,0
13.23,2,498,0.0453,0,211,43,84,57,103,0,0,0,0,0,0,0,0,0,0,0,0
14.23,2,498,0.0471,0,211,43,84,57,103,0,0,0,0,0,0,0,0,0,0,0,0
15.26,2,498,0.0579,0,211,43,84,57,103,0,0,0,0,0,0,0,0,0,0,0,0
16.26,2,498,0.0578,0,211,43,84,57,103,0,0,0,0,0,0,0,0,0,0,0,0
17.26,2,498,0.0658,0,211,43,84,57,103,0,0,0,0,0,0,0,0,0,0,0,0
18.27,2,498,0.0734,0,211,43,84,57,103,0,0,0,0,0,0,0,0,0,0,0,0
19.28,2,498,0.0776,0,211,43,84,57,103,0,0,0,0,0,0,0,0,0,0,0,0
20.30,3,497,0.0784,0,211,43,84,57,102,0,0,0,0,0,0,0,0,0,0,0,0
21.33,3,497,0.0815,0,211,43,84,57,102,0,0,0,0,0,0,0,0,0,0,0,0
22.34,3,497,0.0813,0,211,43,84,57,102,0,0,0,0,0,0,0,0,0,0,0,0
23.37,3,497,0.0849,0,211,43,84,57,102,0,0,0,0,0,0,0,0,0,0,0,0
24.38,3,497,0.0898,0,211,43,84,57,102,0,0,0,0,0,0,0,0,0,0,0,0
25.39,3,497,0.1014,0,211,43,84,57,102,0,0,0,0,0,0,0,0,0,0,0,0
26.39,3,497,0.0984,0,211,43,84,57,102,0,0,0,0,0,0,0,0,0,0,0,0
27.40,3,497,0.1055,0,211,43,84,57,102,0,0,0,0,0,0,0,0,0,0,0,0
28.41,3,497,0.1116,0,211,43,84,57,102,0,0,0,0,0,0,0,0,0,0,0,0
