AgentID,SpawnZone,EscapeTime(s),ExitUsed
10,Typical School Chair and Table 14,11.66,Group 5639
21,Typical School Chair and Table 10,16.23,Group 5639
15,School Table,27.35,Exit_Sub2
29,School Table,33.99,Exit_Sub3
54,School Table,41.51,Group 5639
44,Typical School Chair and Table 9,48.90,Exit_Sub3
27,School Table,50.45,Exit_Sub1
51,Typical School Chair and Table 15,57.35,Exit_Sub2
55,School Table,58.15,Exit_Sub_Main
42,School Table,58.74,Exit_Sub2
11,School Table,65.51,Exit_Sub3
49,Typical School Chair and Table 3,66.17,Exit_Sub2
22,Typical School Chair and Table 13,69.56,Group 5639
107,Typical School Chair and Table 7,70.45,Group 5639
3,Typical School Chair and Table 11,71.18,Exit_Sub_Main
116,School Table,71.21,Group 5639
5,School Table,73.59,Exit_Sub_Main
13,School Table,78.12,Group 5639
92,Typical School Chair and Table 9,79.60,Exit_Sub_Main
109,Typical School Chair and Table 12,80.61,Exit_Sub2
126,School Table,83.94,Group 5639
63,Typical School Chair and Table 5,84.34,Exit_Sub2
101,School Table,87.22,Exit_Sub2
58,Typical School Chair and Table 1,88.89,Exit_Sub_Main
79,Typical School Chair and Table 12,89.07,Exit_Sub_Main
9,School Table,90.33,Exit_Sub3
136,School Table,92.30,Group 5639
14,School Table,92.59,Exit_Sub1
30,School Table,93.35,Exit_Sub_Main
74,School Table,94.72,Exit_Sub3
78,Typical School Chair and Table 7,95.58,Exit_Sub3
23,School Table,95.65,Group 5639
34,Typical School Chair and Table 18,96.63,Group 5639
40,School Table,99.90,Exit_Sub_Main
18,Typical School Chair and Table 11,100.51,Exit_Sub_Main
70,Typical School Chair and Table 17,102.49,Group 5639
156,School Table,102.53,Group 5639
47,Typical School Chair and Table 13,104.10,Group 5639
7,School Table,105.99,Exit_Sub_Main
19,School Table,106.35,Group 5639
17,Typical School Chair and Table 5,108.04,Exit_Sub_Main
41,Typical School Chair and Table 3,108.44,Group 5639
48,School Table,109.00,Exit_Sub_Main
61,Typical School Chair and Table 14,109.37,Group 5639
52,Typical School Chair and Table 13,111.24,Exit_Sub_Main
8,School Table,112.19,Exit_Sub_Main
2,School Table,112.58,Exit_Sub1
84,Typical School Chair and Table 20,113.77,Exit_Sub3
149,School Table,114.19,Exit_Sub2
64,Typical School Chair and Table 19,115.50,Exit_Sub1
36,Typical School Chair and Table 13,115.67,Group 5639
62,School Table,118.55,Exit_Sub3
114,Typical School Chair and Table 10,118.72,Exit_Sub_Main
43,School Table,119.25,Group 5639
1,School Table,119.50,Exit_Sub3
