AgentID,SpawnZone,EscapeTime(s),ExitUsed
105,School Table,0.02,Group 5639
158,School Table,0.02,Group 5639
16,School Table,16.85,Group 5639
70,School Table,32.91,Group 5639
93,Typical School Chair and Table 19,43.85,Group 5639
41,Typical School Chair and Table 4,46.19,Exit_Sub_Main
66,Typical School Chair and Table 13,48.10,Exit_Sub2
73,Typical School Chair and Table 13,49.67,Exit_Sub2
68,Typical School Chair and Table 5,51.61,Exit_Sub3
65,Typical School Chair and Table 12,51.77,Exit_Sub2
85,Typical School Chair and Table 16,52.04,Exit_Sub_Main
8,School Table,55.60,Exit_Sub_Main
164,School Table,62.88,Group 5639
123,School Table,64.84,Exit_Sub2
36,School Table,68.27,Exit_Sub3
100,Typical School Chair and Table 14,68.43,Exit_Sub2
101,School Table,69.82,Exit_Sub1
142,School Table,73.28,Exit_Sub2
53,Typical School Chair and Table 19,76.34,Group 5639
107,School Table,79.98,Exit_Sub1
90,School Table,80.49,Exit_Sub1
173,Typical School Chair and Table 11,81.24,Exit_Sub2
5,Typical School Chair and Table 19,81.36,Group 5639
26,School Table,82.00,Exit_Sub2
87,Typical School Chair and Table 13,84.10,Group 5639
149,School Table,84.89,Exit_Sub2
159,School Table,87.10,Exit_Sub1
115,School Table,87.41,Exit_Sub1
124,Typical School Chair and Table 16,87.47,Exit_Sub3
167,School Table,87.66,Exit_Sub2
222,Typical School Chair and Table 7,88.19,Exit_Sub3
45,School Table,90.59,Group 5639
207,School Table,92.30,Exit_Sub3
187,Typical School Chair and Table 8,92.38,Exit_Sub_Main
121,School Table,92.52,Group 5639
17,School Table,94.81,Exit_Sub_Main
30,Typical School Chair and Table 5,95.12,Group 5639
113,School Table,95.22,Exit_Sub3
22,Typical School Chair and Table 10,96.01,Exit_Sub3
29,Typical School Chair and Table 8,96.25,Group 5639
133,School Table,97.56,Exit_Sub_Main
78,Typical School Chair and Table 12,97.67,Exit_Sub_Main
82,Typical School Chair and Table 12,98.56,Exit_Sub_Main
98,School Table,99.23,Exit_Sub_Main
59,Typical School Chair and Table 20,101.19,Exit_Sub_Main
54,Typical School Chair and Table 2,101.28,Group 5639
23,Typical School Chair and Table 17,102.06,Group 5639
220,School Table,102.76,Exit_Sub_Main
27,School Table,103.04,Group 5639
56,School Table,103.38,Exit_Sub1
83,School Table,103.75,Group 5639
239,Typical School Chair and Table 9,104.29,Exit_Sub3
76,School Table,104.72,Group 5639
72,School Table,105.41,Exit_Sub_Main
161,Typical School Chair and Table 10,105.65,Exit_Sub3
205,School Table,106.70,Exit_Sub_Main
248,Typical School Chair and Table 9,107.47,Exit_Sub3
62,Typical School Chair and Table 8,107.77,Exit_Sub_Main
47,School Table,108.28,Exit_Sub_Main
94,Typical School Chair and Table 10,108.42,Group 5639
225,Typical School Chair and Table 10,108.48,Exit_Sub1
84,School Table,109.08,Exit_Sub1
39,Typical School Chair and Table 6,109.91,Exit_Sub3
75,Typical School Chair and Table 15,110.10,Exit_Sub_Main
21,Typical School Chair and Table 2,110.47,Exit_Sub1
33,School Table,111.95,Exit_Sub_Main
126,School Table,112.64,Exit_Sub_Main
148,Typical School Chair and Table 19,113.28,Exit_Sub_Main
79,Typical School Chair and Table 11,113.35,Group 5639
89,Typical School Chair and Table 3,113.59,Exit_Sub1
174,School Table,114.29,Group 5639
153,Typical School Chair and Table 20,115.12,Exit_Sub3
116,School Table,115.17,Group 5639
3,Typical School Chair and Table 4,115.26,Exit_Sub_Main
43,School Table,115.90,Group 5639
175,Typical School Chair and Table 15,116.20,Exit_Sub3
125,School Table,116.77,Group 5639
140,School Table,117.59,Group 5639
60,School Table,118.17,Exit_Sub_Main
38,Typical School Chair and Table 6,118.26,Group 5639
103,School Table,119.01,Group 5639
