Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Exit_Sub_Main,Exit_Exit_Sub1,Exit_Exit_Sub2,Exit_Exit_Sub3,Exit_Group 5639,Zone_ZoneSensor stair (10),Zone_ZoneSensor stair (9),Zone_ZoneSensor stair (8),Zone_ZoneSensor stair (7),Zone_ZoneSensor stair (6),Zone_ZoneSensor stair (5),Zone_ZoneSensor stair (4),Zone_ZoneSensor stair (3),Zone_ZoneSensor stair (2),Zone_ZoneSensor stair (1),Zone_ZoneSensor (1),Zone_ZoneSensor stair
0.00,0,250,0.0000,0,101,26,45,25,53,0,0,0,0,0,0,0,0,0,0,0,0
1.01,2,248,0.0019,0,101,26,45,25,51,0,0,0,0,0,0,0,0,0,0,0,0
2.01,2,248,0.0095,0,101,26,45,25,51,0,0,0,0,0,0,0,0,0,0,0,0
3.02,2,248,0.0152,0,101,26,45,25,51,0,0,0,0,0,0,0,0,0,0,0,0
4.03,2,248,0.0224,0,101,26,45,25,51,0,0,0,0,0,0,0,0,0,0,0,0
5.05,2,248,0.0324,0,101,26,45,25,51,0,0,0,0,0,0,0,0,0,0,0,0
6.06,2,248,0.0476,0,101,26,45,25,51,0,0,0,0,0,0,0,0,0,0,0,0
7.07,2,248,0.0572,0,101,26,45,25,51,0,0,0,0,0,0,0,0,0,0,0,0
8.09,2,248,0.0669,0,101,26,45,25,51,0,0,0,0,0,0,0,0,0,0,0,0
9.09,2,248,0.0781,0,101,26,45,25,51,0,0,0,0,0,0,0,0,0,0,0,0
10.09,2,248,0.0893,0,101,26,45,25,51,0,0,0,0,0,0,0,0,0,0,0,0
11.10,2,248,0.0926,0,101,26,45,25,51,0,0,0,0,0,0,0,0,0,0,0,0
12.12,2,248,0.1132,0,101,26,45,25,51,0,0,0,0,0,0,0,0,0,0,0,0
13.13,2,248,0.1152,0,101,26,45,25,51,0,0,0,0,0,0,0,0,0,0,0,0
14.14,2,248,0.1397,0,101,26,45,25,51,0,0,0,0,0,0,0,0,0,0,0,0
