Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Exit_Sub_Main,Exit_Exit_Sub1,Exit_Exit_Sub2,Exit_Exit_Sub3,Exit_Group 5639,Zone_ZoneSensor stair (10),Zone_ZoneSensor stair (9),Zone_ZoneSensor stair (8),Zone_ZoneSensor stair (7),Zone_ZoneSensor stair (6),Zone_ZoneSensor stair (5),Zone_ZoneSensor stair (4),Zone_ZoneSensor stair (3),Zone_ZoneSensor stair (2),Zone_ZoneSensor stair (1),Zone_ZoneSensor (1),Zone_ZoneSensor stair
0.00,0,500,0.0000,16,223,35,94,43,105,0,0,0,0,0,0,0,0,0,0,16,0
1.01,0,500,0.0047,16,223,35,94,43,105,0,0,0,0,0,0,0,0,0,0,16,0
2.02,0,500,0.0068,16,223,35,94,43,105,0,0,0,0,0,0,0,0,0,0,16,0
3.03,0,500,0.0130,16,223,35,94,43,105,0,0,0,0,0,0,0,0,0,0,16,0
4.05,0,500,0.0246,16,223,35,94,43,105,0,0,0,0,0,0,0,0,0,0,16,0
5.06,0,500,0.0260,16,223,35,94,43,105,0,0,0,0,0,0,0,0,0,0,16,0
6.08,0,500,0.0377,16,223,35,94,43,105,0,0,0,0,0,0,0,0,0,0,16,0
7.09,0,500,0.0449,16,223,35,94,43,105,0,0,0,0,0,0,0,0,0,0,16,0
8.11,0,500,0.0527,16,223,35,94,43,105,0,0,0,0,0,0,0,0,0,0,16,0
9.13,0,500,0.0656,16,223,35,94,43,105,0,0,0,0,0,0,0,0,0,0,16,0
10.16,1,499,0.0620,16,223,35,94,43,104,0,0,0,0,0,0,0,0,0,0,16,0
11.17,1,499,0.0628,16,223,35,94,43,104,0,0,0,0,0,0,0,0,0,0,16,0
12.17,1,499,0.0721,16,223,35,94,43,104,0,0,0,0,0,0,0,0,0,0,16,0
13.18,2,498,0.0702,16,223,35,94,43,103,0,0,0,0,0,0,0,0,0,0,16,0
14.19,2,498,0.0742,16,223,35,94,43,103,0,0,0,0,0,0,0,0,0,0,16,0
15.20,2,498,0.0739,16,223,35,94,43,103,0,0,0,0,0,0,0,0,0,0,16,0
16.22,2,498,0.0819,16,223,35,94,43,103,0,0,0,0,0,0,0,0,0,0,16,0
17.22,2,498,0.0866,16,223,35,94,43,103,0,0,0,0,0,0,0,0,0,0,16,0
18.23,2,498,0.0955,16,223,35,94,43,103,0,0,0,0,0,0,0,0,0,0,16,0
19.25,2,498,0.1024,16,223,35,94,43,103,0,0,0,0,0,0,0,0,0,0,16,0
20.28,2,498,0.1027,16,223,35,94,43,103,0,0,0,0,0,0,0,0,0,0,16,0
21.29,2,498,0.1091,16,223,35,94,43,103,0,0,0,0,0,0,0,0,0,0,16,0
22.32,2,498,0.1153,16,223,35,94,43,103,0,0,0,0,0,0,0,0,0,0,16,0
23.33,2,498,0.1201,16,223,35,94,43,103,0,0,0,0,0,0,0,0,0,0,16,0
24.36,2,498,0.1232,16,223,35,94,43,103,0,0,0,0,0,0,0,0,0,0,16,0
25.38,2,498,0.1306,16,223,35,94,43,103,0,0,0,0,0,0,0,0,0,0,16,0
26.39,3,497,0.1319,16,223,35,93,43,103,0,0,0,0,0,0,0,0,0,0,16,0
27.40,3,497,0.1417,16,223,35,93,43,103,0,0,0,0,0,0,0,0,0,0,16,0
28.42,3,497,0.1496,16,223,35,93,43,103,0,0,0,0,0,0,0,0,0,0,16,0
29.42,4,496,0.1473,16,223,35,93,42,103,0,0,0,0,0,0,0,0,0,0,16,0
30.45,4,496,0.1535,16,223,35,93,42,103,0,0,0,0,0,0,0,0,0,0,16,0
31.46,4,496,0.1683,16,223,35,93,42,103,0,0,0,0,0,0,0,0,0,0,16,0
32.46,5,495,0.1638,16,223,35,93,42,102,0,0,0,2,0,0,0,0,0,0,16,0
33.51,5,495,0.1715,16,223,35,93,42,102,0,0,0,2,0,0,0,0,0,0,16,0
34.51,5,495,0.1768,16,223,35,93,42,102,0,0,0,2,0,0,0,0,0,0,16,0
35.52,5,495,0.1846,16,223,35,93,42,102,0,0,0,2,0,0,0,0,0,0,16,0
36.54,5,495,0.1942,16,223,35,93,42,102,0,0,0,0,0,0,0,0,0,0,16,0
37.56,5,495,0.1978,16,223,35,93,42,102,0,0,0,0,0,0,0,0,0,0,16,0
38.58,5,495,0.2069,16,223,35,93,42,102,0,0,0,0,0,0,0,0,0,0,16,0
39.58,5,495,0.2131,16,223,35,93,42,102,0,2,0,0,0,0,0,0,0,0,16,0
40.59,5,495,0.2198,16,223,35,93,42,102,0,0,0,0,0,0,0,0,0,0,16,0
41.61,6,494,0.2236,16,223,35,93,41,102,0,0,0,0,0,0,0,0,0,0,16,0
42.61,6,494,0.2260,16,223,35,93,41,102,0,0,0,0,0,0,0,0,0,0,16,0
43.63,6,494,0.2265,16,223,35,93,41,102,0,0,2,0,0,0,0,0,0,2,16,0
44.64,6,494,0.2386,16,223,35,93,41,102,0,0,0,0,0,0,0,0,0,2,16,0
45.64,7,493,0.2354,16,223,34,93,41,102,0,0,0,0,0,0,0,0,0,0,16,0
46.66,7,493,0.2433,16,223,34,93,41,102,0,0,0,0,0,0,0,0,0,0,16,0
47.66,7,493,0.2488,16,223,34,93,41,102,0,0,0,0,0,0,0,0,0,0,16,0
48.67,9,491,0.2488,16,222,34,92,41,102,0,0,0,0,0,0,0,0,0,0,16,0
49.69,9,491,0.2561,16,222,34,92,41,102,0,0,0,0,0,0,0,0,0,0,16,0
50.70,10,490,0.2559,16,222,34,91,41,102,0,0,0,0,0,0,0,0,0,0,16,0
51.72,11,489,0.2578,16,222,34,91,41,101,0,0,0,0,0,0,0,0,2,0,16,0
52.74,12,488,0.2583,16,222,34,91,41,100,0,2,2,0,0,0,0,0,2,0,16,0
53.76,12,488,0.2693,16,222,34,91,41,100,0,2,2,0,0,0,0,0,2,0,16,0
54.78,12,488,0.2732,16,222,34,91,41,100,0,0,0,0,0,0,0,0,0,0,16,0
55.79,12,488,0.2820,16,222,34,91,41,100,0,0,0,0,0,0,0,0,0,0,16,0
56.79,13,487,0.2850,16,222,34,90,41,100,0,0,0,0,0,0,0,0,0,2,16,0
57.81,13,487,0.2915,16,222,34,90,41,100,0,2,0,2,0,0,0,0,2,2,16,0
58.81,13,487,0.2928,16,222,34,90,41,100,0,0,2,0,0,0,0,0,2,2,16,0
59.83,13,487,0.3029,18,222,34,90,41,100,0,0,2,2,0,0,0,0,2,2,18,0
60.85,14,486,0.3091,18,222,34,90,41,99,0,0,2,2,0,0,0,0,2,2,18,0
61.86,16,484,0.3067,18,222,34,89,41,98,0,2,0,4,0,0,0,0,0,0,18,0
62.87,16,484,0.3070,18,222,34,89,41,98,0,2,0,2,0,0,0,0,0,0,18,0
63.89,17,483,0.3159,18,222,34,89,40,98,0,0,0,4,0,0,0,0,0,2,18,0
64.89,18,482,0.3136,18,221,34,89,40,98,0,0,0,2,0,0,0,0,0,4,18,2
65.89,18,482,0.3135,18,221,34,89,40,98,0,2,0,0,0,0,0,0,0,2,18,2
66.91,18,482,0.3210,18,221,34,89,40,98,0,2,0,2,0,0,0,0,0,2,18,0
67.94,18,482,0.3206,18,221,34,89,40,98,0,0,0,2,0,0,0,0,0,0,18,0
68.94,19,481,0.3344,18,221,34,89,40,97,0,0,0,0,0,0,0,0,0,0,18,0
69.94,19,481,0.3348,18,221,34,89,40,97,0,0,0,2,0,0,0,0,0,0,18,0
71.00,21,479,0.3340,18,220,34,88,40,97,0,0,0,2,0,0,0,0,0,2,18,0
72.02,21,479,0.3371,18,220,34,88,40,97,0,0,0,4,0,0,0,0,0,2,18,2
73.03,22,478,0.3490,18,219,34,88,40,97,0,0,2,2,0,0,0,0,0,2,18,2
74.05,24,476,0.3440,18,219,34,87,40,96,0,0,2,0,0,0,0,0,0,0,18,0
75.05,24,476,0.3500,18,219,34,87,40,96,0,2,2,0,0,0,0,0,0,2,18,0
76.07,26,474,0.3506,18,218,34,87,40,95,0,4,0,0,0,0,0,0,0,2,18,0
