AgentID,SpawnZone,EscapeTime(s),ExitUsed
10,Typical School Chair and Table 12,21.20,Exit_Sub2
56,Typical School Chair and Table 1,27.67,Group 5639
35,School Table,38.51,Exit_Sub2
9,School Table,49.72,Exit_Sub_Main
78,School Table,52.94,Exit_Sub_Main
1,Typical School Chair and Table 2,55.05,Group 5639
18,School Table,55.59,Exit_Sub_Main
17,School Table,55.95,Group 5639
39,School Table,57.58,Exit_Sub_Main
48,Typical School Chair and Table 15,58.34,Exit_Sub1
16,Typical School Chair and Table 19,59.99,Exit_Sub3
32,School Table,62.84,Exit_Sub1
23,Typical School Chair and Table 17,64.89,Exit_Sub3
67,Typical School Chair and Table,64.97,Group 5639
114,School Table,66.81,Exit_Sub_Main
88,School Table,73.80,Exit_Sub2
37,School Table,76.07,Exit_Sub_Main
99,School Table,76.58,Exit_Sub1
26,School Table,77.34,Group 5639
40,Typical School Chair and Table 20,78.71,Exit_Sub3
124,School Table,78.79,Exit_Sub2
116,School Table,81.41,Exit_Sub2
33,School Table,82.15,Exit_Sub1
72,Typical School Chair and Table 8,83.21,Exit_Sub3
25,School Table,84.10,Group 5639
24,Typical School Chair and Table 18,87.01,Group 5639
47,Typical School Chair and Table 9,87.38,Exit_Sub_Main
44,Typical School Chair and Table 13,88.11,Exit_Sub_Main
164,Typical School Chair and Table 4,88.68,Exit_Sub2
125,School Table,89.43,Exit_Sub2
42,School Table,90.70,Group 5639
57,Typical School Chair and Table 5,91.32,Exit_Sub_Main
31,School Table,92.33,Exit_Sub_Main
178,School Table,94.90,Exit_Sub2
138,School Table,97.05,Exit_Sub2
61,School Table,97.74,Exit_Sub_Main
73,Typical School Chair and Table 16,99.05,Exit_Sub1
113,Typical School Chair and Table 4,99.29,Exit_Sub_Main
75,Typical School Chair and Table 9,99.70,Exit_Sub_Main
65,School Table,100.32,Exit_Sub1
64,Typical School Chair and Table 10,100.55,Group 5639
206,Typical School Chair and Table,101.26,Group 5639
91,Typical School Chair and Table 5,101.47,Group 5639
21,Typical School Chair and Table 4,104.85,Exit_Sub_Main
76,Typical School Chair and Table 19,107.09,Group 5639
199,Typical School Chair and Table 3,107.57,Exit_Sub3
28,School Table,108.40,Group 5639
77,School Table,109.84,Group 5639
59,Typical School Chair and Table 17,110.81,Exit_Sub3
58,School Table,110.89,Exit_Sub_Main
140,School Table,111.56,Group 5639
7,Typical School Chair and Table 20,111.81,Exit_Sub1
82,Typical School Chair and Table 12,112.24,Group 5639
15,Typical School Chair and Table 1,112.26,Exit_Sub_Main
38,School Table,113.78,Group 5639
86,School Table,114.74,Group 5639
69,School Table,115.68,Group 5639
2,School Table,116.48,Exit_Sub1
205,Typical School Chair and Table 15,116.78,Exit_Sub2
52,School Table,117.18,Group 5639
30,Typical School Chair and Table 13,118.02,Exit_Sub_Main
103,Typical School Chair and Table 7,118.10,Group 5639
159,Typical School Chair and Table 12,118.25,Exit_Sub2
104,School Table,119.11,Group 5639
