Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Exit_Sub_Main,Exit_Exit_Sub1,Exit_Exit_Sub2,Exit_Exit_Sub3,Exit_Group 5639,Zone_ZoneSensor stair (10),Zone_ZoneSensor stair (9),Zone_ZoneSensor stair (8),Zone_ZoneSensor stair (7),Zone_ZoneSensor stair (6),Zone_ZoneSensor stair (5),Zone_ZoneSensor stair (4),Zone_ZoneSensor stair (3),Zone_ZoneSensor stair (2),Zone_ZoneSensor stair (1),Zone_ZoneSensor (1),Zone_ZoneSensor stair
0.00,0,750,0.0000,32,333,63,131,70,153,0,0,0,0,0,0,0,0,0,0,32,0
1.00,0,750,0.0045,32,333,63,131,70,153,0,0,0,0,0,0,0,0,0,0,32,0
2.03,0,750,0.0048,32,333,63,131,70,153,0,0,0,0,0,0,0,0,0,0,32,0
3.06,0,750,0.0088,32,333,63,131,70,153,0,0,0,0,0,0,0,0,0,0,32,0
4.09,0,750,0.0090,32,333,63,131,70,153,0,0,0,0,0,0,0,0,0,0,32,0
5.10,0,750,0.0178,32,333,63,131,70,153,0,0,0,0,0,0,0,0,0,0,32,0
6.11,0,750,0.0186,32,333,63,131,70,153,0,0,0,0,0,0,0,0,0,0,32,0
7.11,0,750,0.0292,32,333,63,131,70,153,0,0,0,0,0,0,0,0,0,0,32,0
8.12,0,750,0.0258,32,333,63,131,70,153,0,0,0,0,0,0,0,0,0,0,32,0
9.13,0,750,0.0261,32,333,63,131,70,153,0,0,0,0,0,0,0,0,0,0,32,0
10.15,0,750,0.0288,32,333,63,131,70,153,0,0,0,0,0,0,0,0,0,0,32,0
11.15,0,750,0.0281,32,333,63,131,70,153,0,0,0,0,0,0,0,0,0,0,32,0
12.16,0,750,0.0336,32,333,63,131,70,153,0,0,0,0,0,0,0,0,0,0,32,0
13.16,0,750,0.0374,32,333,63,131,70,153,0,0,0,0,0,0,0,0,0,0,32,0
14.17,0,750,0.0377,32,333,63,131,70,153,0,0,0,0,0,0,0,0,0,0,32,0
15.19,0,750,0.0399,32,333,63,131,70,153,0,0,0,0,0,0,0,0,0,0,32,0
16.21,0,750,0.0370,32,333,63,131,70,153,0,0,0,0,0,0,0,0,0,0,32,0
17.21,0,750,0.0431,32,333,63,131,70,153,0,0,0,0,0,0,0,0,0,0,32,0
18.23,0,750,0.0450,32,333,63,131,70,153,0,0,0,0,0,0,0,0,0,0,32,0
19.24,0,750,0.0487,32,333,63,131,70,153,0,0,0,0,0,0,0,0,0,0,32,0
20.24,0,750,0.0540,32,333,63,131,70,153,0,0,0,0,0,0,0,0,0,0,32,0
21.27,0,750,0.0563,32,333,63,131,70,153,0,0,0,0,0,0,0,0,0,0,32,0
22.28,0,750,0.0582,32,333,63,131,70,153,0,0,0,0,0,0,0,0,0,0,32,0
23.30,1,749,0.0609,32,333,63,130,70,153,0,0,0,0,0,0,0,0,0,0,32,0
24.31,1,749,0.0649,32,333,63,130,70,153,0,0,0,0,0,0,0,0,0,0,32,0
25.35,1,749,0.0788,32,333,63,130,70,153,0,0,0,0,0,0,0,0,0,0,32,0
26.37,1,749,0.0720,32,333,63,130,70,153,0,0,0,0,0,0,0,0,0,0,32,0
27.37,1,749,0.0718,32,333,63,130,70,153,0,0,0,0,0,0,0,0,0,0,32,0
28.40,1,749,0.0728,32,333,63,130,70,153,0,0,0,0,0,0,0,0,0,0,32,0
29.43,1,749,0.0924,32,333,63,130,70,153,0,0,0,0,0,0,0,0,0,0,32,0
30.44,1,749,0.0731,32,333,63,130,70,153,0,0,0,0,0,0,0,0,0,0,32,0
31.47,1,749,0.0752,32,333,63,130,70,153,0,0,0,0,0,0,0,0,0,0,32,0
32.50,1,749,0.0737,32,333,63,130,70,153,0,0,0,0,0,0,0,0,0,0,32,0
33.52,1,749,0.0795,32,333,63,130,70,153,0,0,0,0,0,0,0,0,0,0,32,0
34.53,1,749,0.0816,32,333,63,130,70,153,0,0,0,0,0,0,0,0,0,0,32,0
35.55,1,749,0.0854,32,333,63,130,70,153,0,0,0,0,0,0,0,0,0,0,32,0
36.55,1,749,0.0872,32,333,63,130,70,153,0,0,0,0,0,0,0,0,0,0,32,0
37.58,2,748,0.0928,32,333,63,130,70,152,0,0,0,0,0,0,0,0,0,0,32,0
38.58,2,748,0.1160,32,333,63,130,70,152,0,0,0,0,0,0,0,0,0,0,32,0
