Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Exit_Sub_Main,Exit_Exit_Sub1,Exit_Exit_Sub2,Exit_Exit_Sub3,Exit_Group 5639,Zone_ZoneSensor stair (10),Zone_ZoneSensor stair (9),Zone_ZoneSensor stair (8),Zone_ZoneSensor stair (7),Zone_ZoneSensor stair (6),Zone_ZoneSensor stair (5),Zone_ZoneSensor stair (4),Zone_ZoneSensor stair (3),Zone_ZoneSensor stair (2),Zone_ZoneSensor stair (1),Zone_ZoneSensor (1),Zone_ZoneSensor stair
0.00,0,1000,0.0000,44,422,89,166,93,230,0,0,0,0,0,0,0,0,0,0,44,0
1.01,2,998,0.0000,44,422,89,166,93,228,0,0,0,0,0,0,0,0,0,0,44,0
2.01,2,998,0.0004,44,422,89,166,93,228,0,0,0,0,0,0,0,0,0,0,44,0
3.01,2,998,0.0012,44,422,89,166,93,228,0,0,0,0,0,0,0,0,0,0,44,0
4.06,2,998,0.0026,44,422,89,166,93,228,0,0,0,0,0,0,0,0,0,0,44,0
5.06,2,998,0.0036,44,422,89,166,93,228,0,0,0,0,0,0,0,0,0,0,44,0
6.09,2,998,0.0036,44,422,89,166,93,228,0,0,0,0,0,0,0,0,0,0,44,0
7.13,2,998,0.0046,44,422,89,166,93,228,0,0,0,0,0,0,0,0,0,0,44,0
8.15,2,998,0.0070,44,422,89,166,93,228,0,0,0,0,0,0,0,0,0,0,44,0
9.19,2,998,0.0077,44,422,89,166,93,228,0,0,0,0,0,0,0,0,0,0,44,0
10.23,2,998,0.0079,44,422,89,166,93,228,0,0,0,0,0,0,0,0,0,0,44,0
11.28,2,998,0.0133,44,422,89,166,93,228,0,0,0,0,0,0,0,0,0,0,44,0
12.31,2,998,0.0132,44,422,89,166,93,228,0,0,0,0,0,0,0,0,0,0,44,0
13.35,2,998,0.0130,44,422,89,166,93,228,0,0,0,0,0,0,0,0,0,0,44,0
14.39,2,998,0.0121,44,422,89,166,93,228,0,0,0,0,0,0,0,0,0,0,44,0
15.40,2,998,0.0390,44,422,89,166,93,228,0,0,0,0,0,0,0,0,0,0,44,0
16.41,2,998,0.0160,44,422,89,166,93,228,0,0,0,0,0,0,0,0,0,0,44,0
17.45,2,998,0.0149,44,422,89,166,93,228,0,0,0,0,0,0,0,0,0,0,44,0
18.45,2,998,0.0161,44,422,89,166,93,228,0,0,0,0,0,0,0,0,0,0,44,0
19.47,2,998,0.0180,44,422,89,166,93,228,0,0,0,0,0,0,0,0,0,0,44,0
20.47,2,998,0.0197,44,422,89,166,93,228,0,0,0,0,0,0,0,0,0,0,44,0
21.54,2,998,0.0195,44,422,89,166,93,228,0,0,0,0,0,0,0,0,0,0,44,0
22.55,2,998,0.0188,44,422,89,166,93,228,0,0,0,0,0,0,0,0,0,0,44,0
23.59,2,998,0.0201,44,422,89,166,93,228,0,0,0,0,0,0,0,0,0,0,44,0
24.62,2,998,0.0201,44,422,89,166,93,228,0,0,0,0,0,0,0,0,0,0,44,0
25.63,2,998,0.0217,44,422,89,166,93,228,0,0,0,0,0,0,0,0,0,0,44,0
26.66,2,998,0.0366,44,422,89,166,93,228,0,0,0,0,0,0,0,0,0,0,44,0
27.69,2,998,0.0250,44,422,89,166,93,228,0,0,0,0,0,0,0,0,0,0,44,0
28.70,3,997,0.0238,44,422,89,166,93,227,0,0,0,0,0,0,0,0,0,0,44,0
29.70,3,997,0.0235,44,422,89,166,93,227,0,0,0,0,0,0,0,0,0,0,44,0
30.71,3,997,0.0274,44,422,89,166,93,227,0,0,0,0,0,0,0,0,0,0,44,0
31.72,3,997,0.0282,44,422,89,166,93,227,0,0,0,0,0,0,0,0,0,0,44,0
32.74,3,997,0.0306,44,422,89,166,93,227,0,0,0,0,0,0,0,0,0,0,44,0
33.80,3,997,0.0302,44,422,89,166,93,227,0,0,0,0,0,0,0,0,0,0,44,0
34.83,3,997,0.0314,44,422,89,166,93,227,0,0,0,0,0,0,0,0,0,0,44,0
35.83,3,997,0.0330,44,422,89,166,93,227,0,0,0,0,0,0,0,0,0,0,44,0
36.84,3,997,0.0342,44,422,89,166,93,227,0,0,0,0,0,0,0,0,0,0,44,0
37.89,3,997,0.0340,44,422,89,166,93,227,0,0,0,0,0,0,0,0,0,0,44,0
