AgentID,SpawnZone,EscapeTime(s),ExitUsed
3,pedestal,37.84,Exit_Sub1
5,pedestal,47.53,Exit_Sub2
10,Typical School Chair and Table 12,99.61,Exit_Sub_Main
9,School Table,107.88,Exit_Sub_Main
12,Typical School Chair and Table 9,111.56,Exit_Sub_Main
2,School Table,126.48,Exit_Sub1
16,Typical School Chair and Table 19,136.54,Exit_Sub3
15,Typical School Chair and Table 1,140.28,Exit_Sub2
7,Typical School Chair and Table 20,149.84,Exit_Sub1
18,School Table,151.25,Exit_Sub_Main
6,School Table,159.94,Exit_Sub3
1,Typical School Chair and Table 2,168.66,Exit_Sub2
8,Typical School Chair and Table 1,174.55,Exit_Sub1
11,School Table,178.68,Exit_Sub3
13,School Table,180.07,Exit_Sub_Main
4,School Table,189.02,Exit_Sub_Main
14,Typical School Chair and Table 6,192.23,Exit_Sub2
24,Typical School Chair and Table 18,205.69,Exit_Sub3
23,Typical School Chair and Table 17,207.07,Exit_Sub3
25,School Table,233.22,Exit_Sub_Main
21,Typical School Chair and Table 4,233.67,Exit_Sub_Main
17,School Table,237.79,Exit_Sub_Main
35,School Table,246.00,Exit_Sub_Main
32,School Table,249.73,Exit_Sub1
30,Typical School Chair and Table 13,250.18,Exit_Sub2
37,School Table,259.34,Exit_Sub2
22,Typical School Chair and Table 2,260.22,Exit_Sub2
28,School Table,267.05,Exit_Sub3
33,School Table,270.75,Exit_Sub1
44,Typical School Chair and Table 13,272.10,Exit_Sub2
31,School Table,274.46,Exit_Sub_Main
20,School Table,280.83,Exit_Sub_Main
42,School Table,282.68,Exit_Sub3
19,Typical School Chair and Table 4,283.14,Exit_Sub_Main
26,School Table,283.14,Exit_Sub3
39,School Table,285.53,Exit_Sub_Main
47,Typical School Chair and Table 9,301.22,Exit_Sub2
27,Typical School Chair and Table 8,302.20,Exit_Sub2
40,Typical School Chair and Table 20,307.10,Exit_Sub3
48,Typical School Chair and Table 15,312.96,Exit_Sub1
34,Typical School Chair and Table 1,322.65,Exit_Sub_Main
41,Typical School Chair and Table 8,322.65,Exit_Sub2
49,School Table,329.39,Exit_Sub2
43,Typical School Chair and Table 15,331.77,Exit_Sub2
36,School Table,353.54,Exit_Sub_Main
29,Typical School Chair and Table 6,354.47,Exit_Sub2
38,School Table,374.91,Exit_Sub3
45,Typical School Chair and Table 2,375.81,Exit_Sub_Main
50,School Table,382.96,Exit_Sub1
46,School Table,390.54,Exit_Sub2
53,Typical School Chair and Table 11,405.67,Exit_Sub_Main
51,School Table,416.73,Exit_Sub_Main
57,Typical School Chair and Table 5,433.94,Exit_Sub_Main
56,Typical School Chair and Table 1,449.86,Exit_Sub3
52,School Table,450.72,Exit_Sub3
61,School Table,452.06,Exit_Sub_Main
58,School Table,453.41,Exit_Sub_Main
59,Typical School Chair and Table 17,464.84,Exit_Sub3
65,School Table,483.49,Exit_Sub1
60,School Table,483.49,Exit_Sub2
54,Typical School Chair and Table 1,484.37,Exit_Sub_Main
67,Typical School Chair and Table,486.63,Exit_Sub3
55,Typical School Chair and Table 12,497.63,Exit_Sub_Main
63,School Table,502.91,Exit_Sub2
66,School Table,505.57,Exit_Sub2
75,Typical School Chair and Table 9,505.57,Exit_Sub2
72,Typical School Chair and Table 8,516.95,Exit_Sub3
62,School Table,517.79,Exit_Sub2
73,Typical School Chair and Table 16,531.29,Exit_Sub1
78,School Table,534.39,Exit_Sub_Main
71,Typical School Chair and Table,547.74,Exit_Sub1
64,Typical School Chair and Table 10,559.43,Exit_Sub2
70,Typical School Chair and Table 7,561.62,Exit_Sub1
69,School Table,583.09,Exit_Sub3
68,School Table,592.54,Exit_Sub2
74,Typical School Chair and Table 3,607.91,Exit_Sub3
76,Typical School Chair and Table 19,627.06,Exit_Sub2
81,Typical School Chair and Table 16,651.57,Exit_Sub1
77,School Table,660.10,Exit_Sub2
83,School Table,661.41,Exit_Sub2
79,Typical School Chair and Table 20,669.28,Exit_Sub_Main
88,School Table,679.49,Exit_Sub_Main
80,Typical School Chair and Table 5,688.46,Exit_Sub_Main
82,Typical School Chair and Table 12,691.94,Exit_Sub_Main
98,water tank 2,699.99,Exit_Sub3
91,Typical School Chair and Table 5,703.45,Exit_Sub3
93,School Table,705.17,Exit_Sub3
86,School Table,711.03,Exit_Sub3
84,School Table,720.04,Exit_Sub_Main
99,School Table,721.75,Exit_Sub1
96,School Table,727.80,Exit_Sub3
85,School Table,736.32,Exit_Sub_Main
89,Typical School Chair and Table 13,746.00,Exit_Sub_Main
87,School Table,749.06,Exit_Sub2
105,Typical School Chair and Table 6,763.94,Exit_Sub3
101,Typical School Chair and Table 1,766.09,Exit_Sub_Main
97,Typical School Chair and Table 6,769.89,Exit_Sub3
104,School Table,772.09,Exit_Sub3
92,School Table,777.64,Exit_Sub2
90,School Table,790.35,Exit_Sub_Main
100,Typical School Chair and Table 17,795.47,Exit_Sub2
107,School Table,797.16,Exit_Sub_Main
114,School Table,798.08,Exit_Sub_Main
95,School Table,798.08,Exit_Sub3
102,School Table,802.29,Exit_Sub2
94,School Table,809.82,Exit_Sub_Main
111,Typical School Chair and Table 19,809.82,Exit_Sub2
106,School Table,812.39,Exit_Sub1
116,School Table,820.36,Exit_Sub_Main
113,Typical School Chair and Table 4,825.79,Exit_Sub_Main
109,Typical School Chair and Table 9,850.45,Exit_Sub_Main
112,Typical School Chair and Table 20,855.46,Exit_Sub_Main
110,School Table,855.87,Exit_Sub_Main
119,School Table,866.40,Exit_Sub_Main
103,Typical School Chair and Table 7,867.23,Exit_Sub2
