AgentID,SpawnZone,EscapeTime(s),ExitUsed,Seed,ActiveSigns
926,stand,0.56,Exit_Sub3,0,7
229,pedestal,0.57,Exit_Sub3,0,7
296,Typical School Chair and Table 11,14.72,Exit_Sub_Main,0,7
423,School Table,15.15,Exit_Sub_Main,0,7
175,Typical School Chair and Table 15,21.17,Exit_Sub_Main,0,7
822,Typical School Chair and Table 9,23.08,Exit_Sub3,0,7
131,School Table,26.40,Exit_Sub3,0,7
238,pedestal,27.96,Exit_Sub2,0,7
718,School Table,29.99,Exit_Sub3,0,7
932,Typical School Chair and Table 5,30.58,Exit_Sub2,0,7
582,Typical School Chair and Table 12,32.08,Exit_Sub3,0,7
410,School Table,32.36,Exit_Sub_Main,0,7
11,Typical School Chair and Table 18,32.72,Exit_Sub3,0,7
748,Typical School Chair and Table 1,33.05,Exit_Sub_Main,0,7
764,Typical School Chair and Table 19,33.60,Exit_Sub3,0,7
567,pedestal,33.84,Exit_Sub_Main,0,7
515,Typical School Chair and Table 8,34.12,Exit_Sub3,0,7
790,Typical School Chair and Table 3,34.27,Exit_Sub_Main,0,7
257,School Table,34.72,Exit_Sub_Main,0,7
942,School Table,36.94,Exit_Sub3,0,7
843,Typical School Chair and Table,39.60,Exit_Sub_Main,0,7
417,Typical School Chair and Table 2,40.84,Exit_Sub2,0,7
439,School Table,41.06,Exit_Sub_Main,0,7
311,School Table,41.36,Exit_Sub2,0,7
265,Typical School Chair and Table 14,41.60,Exit_Sub_Main,0,7
113,Typical School Chair and Table 13,42.64,Exit_Sub2,0,7
213,School Table,43.52,Exit_Sub2,0,7
652,School Table,43.52,Exit_Sub3,0,7
580,School Table,44.72,Exit_Sub1,0,7
514,School Table,44.98,Exit_Sub3,0,7
297,School Table,45.50,Exit_Sub_Main,0,7
386,Typical School Chair and Table 4,45.88,Exit_Sub_Main,0,7
588,School Table,46.26,Exit_Sub_Main,0,7
50,School Table,46.49,Exit_Sub2,0,7
347,Typical School Chair and Table 14,47.06,Exit_Sub3,0,7
823,Typical School Chair and Table 9,47.15,Exit_Sub_Main,0,7
