AgentID,SpawnZone,EscapeTime(s),ExitUsed
105,stand,1.87,Exit_Sub3
3,Typical School Chair and Table 4,139.13,Exit_Sub_Main
2,School Table,142.71,Exit_Sub_Main
1,School Table,144.94,Exit_Sub_Main
8,School Table,160.48,Exit_Sub_Main
6,School Table,173.02,Exit_Sub_Main
4,School Table,194.44,Exit_Sub_Main
9,School Table,222.22,Exit_Sub3
5,Typical School Chair and Table 19,230.98,Exit_Sub2
7,Typical School Chair and Table 5,234.94,Exit_Sub_Main
10,School Table,246.22,Exit_Sub_Main
13,School Table,267.03,Exit_Sub2
12,School Table,269.67,Exit_Sub_Main
17,School Table,270.58,Exit_Sub_Main
16,School Table,272.36,Exit_Sub3
11,Typical School Chair and Table 8,279.28,Exit_Sub_Main
15,Typical School Chair and Table 13,286.95,Exit_Sub2
14,School Table,302.87,Exit_Sub_Main
22,Typical School Chair and Table 10,314.14,Exit_Sub3
18,School Table,317.18,Exit_Sub_Main
21,Typical School Chair and Table 2,323.31,Exit_Sub1
26,School Table,324.60,Exit_Sub_Main
20,School Table,330.25,Exit_Sub2
19,Typical School Chair and Table 11,375.58,Exit_Sub_Main
23,Typical School Chair and Table 17,380.74,Exit_Sub3
25,School Table,384.95,Exit_Sub3
24,School Table,386.11,Exit_Sub_Main
31,Typical School Chair and Table 3,391.25,Exit_Sub2
33,School Table,392.59,Exit_Sub2
29,Typical School Chair and Table 8,396.90,Exit_Sub3
28,School Table,399.88,Exit_Sub3
36,School Table,403.32,Exit_Sub3
32,Typical School Chair and Table 16,411.39,Exit_Sub2
27,School Table,420.81,Exit_Sub3
41,Typical School Chair and Table 4,428.80,Exit_Sub_Main
30,Typical School Chair and Table 5,435.60,Exit_Sub3
44,pedestal,439.34,Exit_Sub3
34,Typical School Chair and Table 4,458.48,Exit_Sub_Main
39,Typical School Chair and Table 6,463.56,Exit_Sub3
37,School Table,471.51,Exit_Sub2
35,School Table,486.80,Exit_Sub_Main
51,Typical School Chair and Table,512.31,Exit_Sub1
47,School Table,519.64,Exit_Sub_Main
42,Typical School Chair and Table 14,525.14,Exit_Sub_Main
38,Typical School Chair and Table 6,526.41,Exit_Sub2
48,School Table,529.45,Exit_Sub2
49,School Table,530.72,Exit_Sub2
46,School Table,542.09,Exit_Sub2
40,School Table,556.61,Exit_Sub_Main
45,School Table,556.61,Exit_Sub3
62,Typical School Chair and Table 8,566.27,Exit_Sub2
59,Typical School Chair and Table 20,571.32,Exit_Sub2
52,Typical School Chair and Table 19,576.81,Exit_Sub1
61,School Table,596.12,Exit_Sub2
50,Typical School Chair and Table 18,598.72,Exit_Sub2
56,School Table,599.55,Exit_Sub1
68,Typical School Chair and Table 5,599.55,Exit_Sub3
43,School Table,599.98,Exit_Sub_Main
66,Typical School Chair and Table 13,604.64,Exit_Sub_Main
65,Typical School Chair and Table 12,616.32,Exit_Sub_Main
58,School Table,626.76,Exit_Sub1
60,School Table,627.18,Exit_Sub_Main
57,Typical School Chair and Table 10,630.11,Exit_Sub_Main
73,Typical School Chair and Table 13,633.05,Exit_Sub_Main
53,Typical School Chair and Table 19,634.28,Exit_Sub2
78,Typical School Chair and Table 12,647.07,Exit_Sub2
55,Typical School Chair and Table 7,648.75,Exit_Sub_Main
63,Typical School Chair and Table 5,655.27,Exit_Sub_Main
54,Typical School Chair and Table 2,657.36,Exit_Sub2
76,School Table,663.22,Exit_Sub3
70,School Table,668.21,Exit_Sub3
82,Typical School Chair and Table 12,669.05,Exit_Sub2
85,Typical School Chair and Table 16,670.70,Exit_Sub_Main
72,School Table,671.94,Exit_Sub_Main
64,Typical School Chair and Table 1,673.67,Exit_Sub_Main
67,Typical School Chair and Table 8,674.12,Exit_Sub2
75,Typical School Chair and Table 15,690.70,Exit_Sub2
69,Typical School Chair and Table 2,699.36,Exit_Sub_Main
83,School Table,701.03,Exit_Sub3
74,School Table,708.40,Exit_Sub_Main
84,School Table,716.59,Exit_Sub1
80,School Table,717.81,Exit_Sub2
90,School Table,733.91,Exit_Sub1
77,Typical School Chair and Table 7,734.73,Exit_Sub_Main
81,School Table,743.18,Exit_Sub2
71,School Table,758.22,Exit_Sub3
87,Typical School Chair and Table 13,759.03,Exit_Sub_Main
89,Typical School Chair and Table 3,760.30,Exit_Sub1
88,Typical School Chair and Table 2,764.34,Exit_Sub2
79,Typical School Chair and Table 11,766.39,Exit_Sub3
92,Typical School Chair and Table 4,779.67,Exit_Sub_Main
