AgentID,SpawnZone,EscapeTime(s),ExitUsed,Seed,ActiveSigns
926,stand,0.55,Exit_Sub3,0,5
683,pedestal,2.14,Exit_Sub2,0,5
166,Typical School Chair and Table 16,7.65,Exit_Sub2,0,5
886,Typical School Chair and Table 19,8.43,Exit_Sub3,0,5
525,School Table,20.95,Exit_Sub_Main,0,5
987,School Table,23.19,Exit_Sub_Main,0,5
695,School Table,24.37,Exit_Sub_Main,0,5
108,School Table,25.33,Exit_Sub3,0,5
757,pedestal,26.81,Exit_Sub2,0,5
726,Typical School Chair and Table 20,27.30,Exit_Sub_Main,0,5
452,Typical School Chair and Table 17,28.13,Exit_Sub_Main,0,5
43,pedestal,31.29,Exit_Sub2,0,5
700,School Table,31.87,Exit_Sub_Main,0,5
648,School Table,33.58,Exit_Sub2,0,5
512,Typical School Chair and Table 14,34.63,Exit_Sub_Main,0,5
153,Typical School Chair and Table 10,35.01,Exit_Sub3,0,5
237,Typical School Chair and Table 10,36.47,Exit_Sub_Main,0,5
102,Typical School Chair and Table 4,36.63,Exit_Sub3,0,5
159,School Table,36.91,Exit_Sub3,0,5
820,School Table,39.10,Exit_Sub3,0,5
974,Typical School Chair and Table 10,40.66,Exit_Sub2,0,5
193,School Table,41.22,Exit_Sub2,0,5
823,Typical School Chair and Table 9,41.78,Exit_Sub_Main,0,5
650,Typical School Chair and Table 2,42.60,Exit_Sub_Main,0,5
58,Typical School Chair and Table 13,42.66,Exit_Sub2,0,5
832,Typical School Chair and Table 10,42.83,Exit_Sub3,0,5
772,pedestal,44.02,Exit_Sub_Main,0,5
978,Typical School Chair and Table 10,44.15,Exit_Sub1,0,5
933,School Table,44.99,Exit_Sub_Main,0,5
880,Typical School Chair and Table 10,45.13,Exit_Sub3,0,5
259,School Table,46.09,Exit_Sub_Main,0,5
101,Typical School Chair and Table 10,46.27,Exit_Sub_Main,0,5
65,School Table,48.08,Exit_Sub_Main,0,5
578,School Table,49.08,Exit_Sub3,0,5
838,Typical School Chair and Table 18,49.26,Exit_Sub_Main,0,5
238,pedestal,49.68,Exit_Sub2,0,5
213,School Table,51.31,Exit_Sub2,0,5
387,School Table,51.73,Exit_Sub3,0,5
219,School Table,52.32,Exit_Sub2,0,5
729,Typical School Chair and Table 12,52.32,Exit_Sub_Main,0,5
251,School Table,52.94,Exit_Sub_Main,0,5
853,Typical School Chair and Table 12,53.91,Exit_Sub_Main,0,5
955,Typical School Chair and Table,54.54,Exit_Sub_Main,0,5
380,School Table,55.77,Exit_Sub2,0,5
957,Typical School Chair and Table 20,57.09,Exit_Sub1,0,5
375,School Table,57.39,Exit_Sub_Main,0,5
256,School Table,57.52,Exit_Sub_Main,0,5
239,School Table,57.62,Exit_Sub2,0,5
488,School Table,59.02,Exit_Sub_Main,0,5
619,School Table,59.48,Exit_Sub_Main,0,5
830,School Table,59.70,Exit_Sub3,0,5
831,Typical School Chair and Table 16,60.09,Exit_Sub3,0,5
308,School Table,61.96,Exit_Sub1,0,5
142,School Table,62.29,Exit_Sub3,0,5
854,School Table,62.47,Exit_Sub2,0,5
610,School Table,62.95,Exit_Sub2,0,5
366,Typical School Chair and Table 18,62.99,Exit_Sub_Main,0,5
396,School Table,63.20,Exit_Sub1,0,5
321,Typical School Chair and Table 5,63.51,Exit_Sub2,0,5
790,Typical School Chair and Table 3,63.58,Exit_Sub_Main,0,5
491,School Table,64.04,Exit_Sub2,0,5
137,School Table,65.06,Exit_Sub_Main,0,5
961,Typical School Chair and Table 5,65.71,Exit_Sub_Main,0,5
359,School Table,66.63,Exit_Sub3,0,5
423,School Table,66.65,Exit_Sub_Main,0,5
717,School Table,66.77,Exit_Sub2,0,5
702,Typical School Chair and Table 6,68.86,Exit_Sub2,0,5
791,Typical School Chair and Table 11,69.63,Exit_Sub_Main,0,5
553,School Table,69.75,Exit_Sub_Main,0,5
824,School Table,70.51,Exit_Sub2,0,5
148,School Table,70.95,Exit_Sub3,0,5
103,Typical School Chair and Table,71.02,Exit_Sub_Main,0,5
86,Typical School Chair and Table 11,72.81,Exit_Sub_Main,0,5
785,School Table,72.97,Exit_Sub2,0,5
438,School Table,73.35,Exit_Sub3,0,5
333,School Table,73.69,Exit_Sub2,0,5
235,Typical School Chair and Table 2,74.14,Exit_Sub2,0,5
