AgentID,SpawnZone,EscapeTime(s),ExitUsed
106,School Table,0.17,Group 5639
159,School Table,0.17,Group 5639
105,stand,0.95,Exit_Sub3
247,pedestal,15.57,Exit_Sub_Main
238,pedestal,35.78,Exit_Sub1
240,Typical School Chair and Table 9,43.66,Exit_Sub3
249,Typical School Chair and Table 9,44.57,Exit_Sub3
243,School Table,61.17,Exit_Sub_Main
245,Typical School Chair and Table 16,61.87,Exit_Sub_Main
236,School Table,67.34,Group 5639
223,Typical School Chair and Table 7,72.98,Exit_Sub3
239,Typical School Chair and Table 12,73.13,Exit_Sub3
250,Typical School Chair and Table 14,83.88,Exit_Sub_Main
246,School Table,84.76,Exit_Sub_Main
224,Typical School Chair and Table 4,86.38,Exit_Sub2
226,Typical School Chair and Table 10,88.86,Exit_Sub1
221,School Table,91.40,Exit_Sub_Main
227,School Table,100.70,Exit_Sub_Main
233,Typical School Chair and Table 19,100.70,Exit_Sub2
225,School Table,110.82,Exit_Sub_Main
208,School Table,120.78,Exit_Sub3
216,Typical School Chair and Table 16,122.32,Exit_Sub2
248,School Table,124.04,Exit_Sub2
215,School Table,124.41,Group 5639
237,School Table,125.74,Exit_Sub2
214,Typical School Chair and Table,126.66,Exit_Sub1
217,Typical School Chair and Table 15,127.02,Exit_Sub2
234,School Table,133.18,Exit_Sub2
241,School Table,135.84,Exit_Sub_Main
211,School Table,136.21,Exit_Sub2
244,School Table,136.93,Exit_Sub_Main
206,School Table,137.11,Exit_Sub_Main
228,School Table,151.30,Exit_Sub_Main
204,Typical School Chair and Table 20,158.22,Exit_Sub_Main
230,School Table,158.59,Exit_Sub_Main
220,Typical School Chair and Table 10,160.03,Exit_Sub_Main
201,Typical School Chair and Table,160.67,Exit_Sub1
231,School Table,161.64,Exit_Sub_Main
222,School Table,165.99,Exit_Sub_Main
210,Typical School Chair and Table 19,168.29,Exit_Sub3
232,School Table,172.11,Exit_Sub_Main
187,Typical School Chair and Table 9,177.82,Exit_Sub2
188,Typical School Chair and Table 8,182.38,Exit_Sub_Main
205,School Table,182.56,Exit_Sub_Main
219,Typical School Chair and Table 5,186.59,Exit_Sub_Main
229,Typical School Chair and Table 18,188.57,Exit_Sub_Main
203,School Table,190.88,Exit_Sub3
209,Typical School Chair and Table 13,197.06,Exit_Sub_Main
196,Typical School Chair and Table 20,198.07,Exit_Sub_Main
212,Typical School Chair and Table 7,198.25,Exit_Sub_Main
202,Typical School Chair and Table 1,219.15,Exit_Sub3
197,Typical School Chair and Table,226.24,Exit_Sub1
194,Typical School Chair and Table 10,226.88,Exit_Sub_Main
218,Typical School Chair and Table 18,229.98,Exit_Sub2
165,School Table,240.49,Group 5639
166,Typical School Chair and Table 19,247.94,Exit_Sub2
174,Typical School Chair and Table 11,249.37,Exit_Sub_Main
168,School Table,250.69,Exit_Sub_Main
176,Typical School Chair and Table 15,253.07,Exit_Sub3
190,Typical School Chair and Table 6,263.34,Exit_Sub1
192,School Table,266.76,Exit_Sub_Main
160,School Table,271.59,Exit_Sub1
184,School Table,272.39,Exit_Sub_Main
186,School Table,273.84,Exit_Sub_Main
173,Typical School Chair and Table 16,274.91,Exit_Sub2
182,Typical School Chair and Table 11,276.37,Exit_Sub_Main
177,School Table,280.51,Exit_Sub1
185,School Table,282.38,Exit_Sub_Main
162,Typical School Chair and Table 10,283.72,Exit_Sub3
193,Typical School Chair and Table 18,291.30,Exit_Sub2
149,Typical School Chair and Table 19,295.26,Exit_Sub2
143,School Table,295.26,Exit_Sub_Main
