Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Seed,ActiveSigns,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair (9),Zone_ZoneSensor (1),Zone_ZoneSensor stair (8),Zone_ZoneSensor stair (4)_noSmartSign,Zone_ZoneSensor stair (2),Zone_ZoneSensor stair (1),Zone_ZoneSensor stair (3),Zone_ZoneSensor stair (10),Zone_ZoneSensor stair,Zone_ZoneSensor stair (6),Zone_ZoneSensor stair (7),Zone_ZoneSensor stair (5)
332.74,988,12,1.1279,0,0,10,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0
333.74,989,11,1.1071,0,0,10,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0
334.75,992,8,1.0861,0,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
335.75,992,8,1.1022,0,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
336.76,995,5,1.1885,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
337.76,995,5,1.2729,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
338.76,996,4,1.1864,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
339.77,997,3,1.0957,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
340.77,997,3,1.0857,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
341.77,998,2,1.0579,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
