Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Group 5639,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair (11),Zone_ZoneSensor stair (4)_noSmartSign,Zone_ZoneSensor stair (7),Zone_ZoneSensor stair,Zone_ZoneSensor (1),Zone_ZoneSensor stair (6),Zone_ZoneSensor stair (1),Zone_ZoneSensor stair (5),Zone_ZoneSensor stair (2),Zone_ZoneSensor stair (9),Zone_ZoneSensor stair (10),Zone_ZoneSensor stair (8)
64.29,9,241,0.1330,82,45,23,56,27,89,0,2,0,0,82,0,0,0,0,0,0,0
65.43,9,241,0.1353,82,45,23,56,27,89,0,2,0,0,82,0,0,0,0,0,0,0
66.56,9,241,0.1331,82,45,23,56,27,89,0,2,0,0,82,0,0,0,0,0,0,0
67.66,10,240,0.1326,82,44,23,56,27,89,0,2,0,0,82,0,0,0,0,0,0,0
68.79,10,240,0.1427,82,44,23,56,27,89,0,2,0,0,82,0,0,0,0,0,0,0
69.95,10,240,0.1367,82,44,23,56,27,89,0,2,0,0,82,0,0,0,0,0,0,0
71.05,10,240,0.1442,82,44,23,56,27,89,0,0,0,0,82,0,0,0,0,0,0,0
72.16,10,240,0.1449,82,44,23,56,27,89,0,0,0,0,82,0,0,0,0,0,0,0
73.28,12,238,0.1360,82,44,22,56,27,89,0,0,0,0,82,0,2,0,0,0,0,0
74.32,12,238,0.1359,82,44,22,56,27,89,0,0,0,0,82,0,2,0,0,0,0,0
75.38,12,238,0.1349,82,44,22,56,27,89,0,0,0,0,82,0,0,0,0,0,0,0
76.48,12,238,0.1398,82,44,22,56,27,89,0,0,0,0,82,0,0,0,0,0,0,0
77.52,12,238,0.1435,82,44,22,56,27,89,0,0,0,0,82,0,0,0,0,0,0,0
78.58,12,238,0.1434,82,44,22,56,27,89,0,0,0,0,82,0,0,0,0,0,0,0
79.65,12,238,0.1424,82,44,22,56,27,89,0,0,0,0,82,0,0,0,0,0,0,0
80.73,12,238,0.1434,82,44,22,56,27,89,0,0,0,0,82,0,0,0,0,0,0,0
81.88,12,238,0.1410,82,44,22,56,27,89,0,0,0,0,82,0,0,2,0,0,0,0
82.95,12,238,0.1429,82,44,22,56,27,89,0,0,0,0,82,2,0,4,0,0,0,0
84.03,13,237,0.1398,82,44,22,56,26,89,0,0,0,0,82,2,0,4,0,0,0,0
85.08,14,236,0.1520,82,44,22,56,25,89,0,0,0,0,82,2,0,4,0,0,0,0
86.20,14,236,0.1576,82,44,22,56,25,89,0,0,0,0,82,2,0,4,0,0,0,0
87.32,15,235,0.1641,84,44,22,55,25,89,0,0,0,0,84,2,0,2,0,0,0,0
88.37,15,235,0.1659,84,44,22,55,26,88,0,0,0,0,84,0,0,2,0,2,0,0
89.54,16,234,0.1557,84,44,22,55,26,87,0,0,0,0,84,0,0,2,0,0,0,2
91.40,16,234,0.1562,84,44,22,55,26,87,0,0,0,0,84,0,0,2,0,0,0,0
92.91,17,233,0.1478,82,44,22,55,26,86,0,0,0,0,82,0,0,2,0,0,0,0
93.94,17,233,0.1455,82,44,22,55,26,86,0,0,0,0,82,0,0,2,0,0,0,0
95.05,17,233,0.1476,82,44,22,55,26,86,0,0,0,0,82,0,0,2,0,0,0,0
96.18,17,233,0.1441,82,44,22,55,26,86,0,0,0,0,82,0,0,2,0,0,0,0
97.22,17,233,0.1553,82,44,22,55,26,86,0,0,0,0,82,0,0,0,0,0,0,0
98.42,17,233,0.1623,82,44,22,55,26,86,0,0,0,0,82,0,0,0,0,0,0,0
99.58,17,233,0.1730,82,44,22,55,26,86,0,0,0,0,82,0,0,0,0,0,0,0
100.70,17,233,0.1627,82,44,22,55,26,86,0,0,0,0,82,0,0,0,0,0,0,0
101.86,19,231,0.1484,82,44,22,54,26,85,0,0,0,0,82,0,0,0,0,0,0,0
103.06,19,231,0.1493,82,44,22,54,27,84,0,0,0,0,82,0,0,0,0,2,0,0
104.24,19,231,0.1602,82,44,22,54,27,84,0,0,0,0,82,2,0,0,0,0,0,0
105.44,19,231,0.1587,82,44,22,54,27,84,0,0,2,0,82,2,0,0,0,0,0,2
106.44,19,231,0.1622,82,44,22,54,27,84,0,0,0,0,82,4,0,0,0,0,0,0
107.60,19,231,0.1756,82,44,22,54,27,84,0,0,0,0,82,6,0,0,0,0,0,0
108.74,19,231,0.1712,82,44,22,54,27,84,0,0,0,0,82,6,0,0,0,0,0,0
109.87,19,231,0.1771,84,44,22,54,27,84,0,0,0,0,84,4,0,0,0,0,0,0
111.01,20,230,0.1695,84,44,22,54,27,83,0,0,0,0,84,4,0,0,0,0,0,0
112.02,20,230,0.1663,84,44,22,54,28,82,0,0,0,0,84,2,0,0,0,0,0,2
113.19,20,230,0.1662,84,44,22,54,28,82,0,0,0,0,84,2,0,0,0,0,0,0
114.39,20,230,0.1680,84,44,22,54,28,82,0,0,0,0,84,0,0,0,0,0,0,0
115.59,20,230,0.1746,84,44,22,54,28,82,0,0,0,0,84,2,0,0,0,0,0,0
116.73,20,230,0.1806,84,44,22,54,28,82,0,0,0,0,84,2,0,0,0,0,0,0
117.84,20,230,0.1884,84,44,22,54,28,82,0,0,0,0,84,2,0,0,0,0,0,0
118.95,20,230,0.1855,84,44,22,54,28,82,0,0,0,0,84,2,0,0,0,0,0,2
120.07,20,230,0.1944,84,44,22,54,28,82,0,0,0,0,84,2,0,0,0,0,0,2
121.17,21,229,0.1966,84,43,21,55,28,82,0,0,2,0,84,0,2,0,0,0,0,0
122.32,21,229,0.1984,84,43,21,55,28,82,0,0,0,0,84,0,2,0,0,0,0,0
123.49,22,228,0.1947,84,43,21,54,28,82,0,0,0,0,84,0,0,0,0,0,0,0
124.59,24,226,0.1824,84,42,21,53,29,81,0,0,0,0,84,0,0,0,0,2,0,0
125.74,24,226,0.1854,84,42,21,53,29,81,0,0,0,0,84,0,0,0,0,0,0,0
126.84,26,224,0.1794,84,42,21,52,28,81,0,0,0,0,84,0,0,0,0,0,0,0
127.96,27,223,0.1686,84,42,21,51,28,81,0,0,2,0,84,0,0,0,0,0,0,0
129.03,27,223,0.1757,84,42,21,51,29,80,0,0,4,0,84,0,0,0,0,0,0,0
130.16,27,223,0.1860,84,42,21,51,29,80,0,0,2,0,84,0,0,0,0,0,0,0
131.26,27,223,0.1872,84,42,21,51,29,80,0,0,0,0,84,0,0,0,0,0,0,0
132.42,27,223,0.1950,84,42,21,51,29,80,0,0,0,0,84,0,0,0,0,0,0,0
133.57,28,222,0.1877,84,42,21,50,30,79,0,0,0,0,84,0,0,0,0,2,0,0
134.71,28,222,0.1882,84,42,21,50,30,79,0,0,0,0,84,0,0,0,0,2,0,0
135.84,28,222,0.1909,84,42,21,50,30,79,0,0,2,0,84,0,0,0,0,0,0,0
136.93,31,219,0.1762,84,42,21,49,29,78,0,0,0,0,84,0,0,0,0,0,0,0
138.05,32,218,0.1863,84,42,21,49,29,77,0,0,0,0,84,0,0,0,0,0,0,0
139.17,32,218,0.1744,84,42,20,49,29,77,2,0,0,0,84,0,0,0,0,0,0,0
140.29,32,218,0.1757,84,42,20,49,29,77,2,0,0,0,84,0,0,0,0,0,0,2
141.36,32,218,0.1783,84,41,20,50,29,77,2,0,0,0,84,0,0,0,2,0,0,0
142.48,32,218,0.1773,84,41,20,50,29,77,0,0,0,0,84,0,0,0,2,0,0,0
143.61,32,218,0.1739,84,41,20,50,29,77,0,0,0,0,84,0,0,0,0,0,0,0
144.75,32,218,0.1742,84,41,20,50,29,77,0,0,0,0,84,0,0,0,0,0,0,0
145.83,32,218,0.1779,84,41,20,50,29,77,0,0,0,0,84,0,0,0,0,0,0,0
146.90,32,218,0.1782,84,41,20,50,29,77,0,0,0,0,84,0,0,0,0,0,0,0
147.99,32,218,0.1783,84,41,20,50,29,77,0,0,0,0,84,0,0,0,0,0,0,0
