Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Seed,ActiveSigns,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair (8),Zone_ZoneSensor stair (9),Zone_ZoneSensor stair (4)_noSmartSign,Zone_ZoneSensor stair (2),Zone_ZoneSensor stair (1),Zone_ZoneSensor stair (3),Zone_ZoneSensor stair (10),Zone_ZoneSensor stair,Zone_ZoneSensor (1),Zone_ZoneSensor stair (6),Zone_ZoneSensor stair (7),Zone_ZoneSensor stair (5)
0,0,1000,0,0,0,10,270,246,81,403,0,0,0,0,0,0,0,0,0,0,0,0
1.01,1,999,0.0119,0,0,10,269,246,81,403,0,0,0,0,0,0,0,0,0,0,0,0
2.02,1,999,0.0214,0,0,10,269,246,81,403,0,0,0,0,0,0,0,0,0,0,0,0
3.02,1,999,0.025,0,0,10,269,246,81,403,0,0,0,0,0,0,0,0,0,0,0,0
4.02,1,999,0.0353,0,0,10,269,246,81,403,0,0,0,0,0,0,0,0,0,0,0,0
5.03,1,999,0.0419,0,0,10,269,246,81,403,0,0,0,0,0,0,0,0,0,0,0,0
6.03,3,997,0.0512,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
7.04,3,997,0.0684,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
8.05,3,997,0.0717,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
9.06,3,997,0.0782,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
10.06,3,997,0.075,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
11.07,3,997,0.0869,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
12.07,3,997,0.093,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
13.08,3,997,0.0977,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
14.08,3,997,0.1089,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
15.08,3,997,0.1126,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
16.09,3,997,0.1155,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
17.09,3,997,0.1224,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
18.09,3,997,0.1355,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
19.1,3,997,0.1442,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
20.11,3,997,0.1518,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
21.12,3,997,0.1615,0,0,10,269,245,81,402,0,0,0,0,0,0,0,0,0,0,0,0
22.13,4,996,0.1691,0,0,10,269,244,81,402,0,0,0,0,0,0,0,0,0,0,0,0
23.14,4,996,0.1708,2,0,10,269,244,81,402,0,0,0,0,0,0,0,0,0,2,0,2
24.15,4,996,0.1834,4,0,10,269,244,81,402,0,0,0,0,0,0,0,0,4,2,0,2
25.16,6,994,0.1886,4,0,10,269,244,81,400,0,0,0,0,0,0,0,0,2,4,0,2
26.16,7,993,0.1939,4,0,10,269,244,81,399,0,0,0,0,0,0,0,0,0,4,0,0
27.17,7,993,0.2073,2,0,10,268,245,81,399,0,0,0,2,0,0,0,0,0,2,0,0
28.18,7,993,0.2162,2,0,10,268,245,81,399,0,0,0,2,0,0,0,0,0,0,0,0
29.18,10,990,0.2269,2,0,10,266,245,81,398,0,0,2,0,0,0,0,0,0,0,0,0
30.19,10,990,0.2364,2,0,10,266,245,81,398,0,0,2,0,0,0,0,0,0,0,0,0
31.2,11,989,0.2463,2,0,10,265,245,81,398,0,2,2,0,0,0,0,0,0,0,0,0
32.2,12,988,0.2574,2,0,10,264,245,82,397,2,0,2,0,0,0,0,0,0,0,0,2
33.21,13,987,0.2625,2,0,10,264,244,82,397,0,0,0,0,0,0,0,0,0,2,0,2
34.22,13,987,0.2689,2,0,10,264,244,82,397,0,0,2,0,0,0,0,0,2,2,0,2
35.23,16,984,0.2652,2,0,10,263,244,82,395,2,0,2,0,0,0,0,0,0,2,0,2
36.23,16,984,0.2793,4,0,10,263,244,82,395,0,0,4,0,0,0,0,0,0,2,0,0
37.24,18,982,0.2875,4,0,10,263,243,82,394,0,0,4,0,0,0,0,0,0,0,0,0
38.25,19,981,0.2924,4,0,10,263,242,83,393,0,0,4,0,0,0,0,0,2,2,2,0
39.26,22,978,0.2804,4,0,10,263,240,85,390,0,2,2,0,0,0,0,0,0,2,4,0
40.27,25,975,0.282,4,0,10,262,239,84,390,0,0,2,0,2,0,0,0,0,4,2,0
41.28,27,973,0.2836,4,0,10,261,239,83,390,0,0,0,0,2,0,0,0,0,4,0,0
42.29,27,973,0.295,6,0,10,261,239,83,390,0,0,0,0,0,0,0,0,0,6,0,0
43.3,27,973,0.3003,4,0,10,261,239,84,389,2,0,0,0,0,0,0,0,0,4,2,0
44.3,27,973,0.3145,4,0,10,261,239,84,389,2,0,0,0,0,0,0,0,0,4,4,2
45.31,29,971,0.3169,4,0,10,260,238,84,389,0,0,0,2,0,0,0,0,0,4,0,2
46.32,30,970,0.3235,2,0,10,260,238,84,388,0,0,2,0,0,0,0,0,0,0,0,2
47.33,30,970,0.337,4,0,10,260,238,86,386,4,0,2,0,0,0,0,0,0,2,0,2
48.34,30,970,0.3439,4,0,10,260,238,86,386,0,0,4,0,0,0,0,0,0,4,2,2
49.35,31,969,0.3439,6,0,10,260,237,86,386,0,0,4,0,0,0,0,0,0,6,0,2
50.37,32,968,0.3424,6,0,10,260,236,87,385,2,0,2,0,0,0,0,0,4,6,4,2
51.38,33,967,0.3539,4,0,10,260,236,87,384,2,0,2,0,0,0,0,0,4,4,2,4
52.39,35,965,0.3647,4,0,10,260,236,87,382,0,0,0,0,0,0,0,0,0,4,0,2
53.4,35,965,0.3714,4,0,10,260,236,89,380,4,0,0,0,0,0,0,0,0,4,2,2
54.4,36,964,0.3701,4,0,10,260,235,89,380,0,0,0,0,0,0,0,2,4,4,0,4
55.41,38,962,0.3718,6,0,10,260,234,89,379,0,0,0,0,0,0,0,2,4,6,2,4
56.42,42,958,0.3721,6,0,10,259,232,89,378,0,0,0,0,0,0,0,0,2,6,2,2
57.44,45,955,0.3759,6,0,10,257,232,91,375,0,4,0,0,2,0,0,0,0,6,4,2
58.44,48,952,0.3825,6,0,10,256,230,92,374,0,4,0,0,2,0,0,0,0,6,0,0
