AgentID,SpawnZone,EscapeTime(s),ExitUsed
3,Typical School Chair and Table 11,77.88,Exit_Sub_Main
5,School Table,99.52,Exit_Sub_Main
1,School Table,109.18,Exit_Sub3
2,School Table,109.65,Exit_Sub1
11,School Table,115.45,Exit_Sub3
9,School Table,132.09,Exit_Sub3
10,Typical School Chair and Table 14,133.07,Exit_Sub3
15,School Table,133.56,Exit_Sub_Main
7,School Table,137.43,Exit_Sub_Main
6,School Table,139.80,Exit_Sub2
4,School Table,146.07,Exit_Sub_Main
8,School Table,146.53,Exit_Sub2
14,School Table,166.67,Exit_Sub1
17,Typical School Chair and Table 5,169.58,Exit_Sub2
13,School Table,192.33,Exit_Sub3
18,Typical School Chair and Table 11,199.50,Exit_Sub_Main
12,School Table,220.94,Exit_Sub_Main
21,Typical School Chair and Table 10,234.56,Exit_Sub3
16,School Table,242.14,Exit_Sub_Main
22,Typical School Chair and Table 13,251.62,Exit_Sub_Main
29,School Table,264.30,Exit_Sub3
27,School Table,277.41,Exit_Sub1
24,Typical School Chair and Table 20,277.86,Exit_Sub_Main
19,School Table,279.86,Exit_Sub_Main
20,School Table,281.28,Exit_Sub_Main
23,School Table,284.19,Exit_Sub3
31,Typical School Chair and Table 6,304.98,Exit_Sub2
30,School Table,316.25,Exit_Sub_Main
28,School Table,322.32,Exit_Sub_Main
25,School Table,358.61,Exit_Sub_Main
35,Typical School Chair and Table 10,361.41,Exit_Sub2
26,School Table,372.60,Exit_Sub_Main
40,School Table,375.47,Exit_Sub2
33,School Table,379.69,Exit_Sub1
42,School Table,380.15,Exit_Sub_Main
32,School Table,385.75,Exit_Sub_Main
44,Typical School Chair and Table 9,390.01,Exit_Sub3
34,Typical School Chair and Table 18,391.89,Exit_Sub3
41,Typical School Chair and Table 3,394.26,Exit_Sub3
37,School Table,446.72,Exit_Sub_Main
49,Typical School Chair and Table 3,451.29,Exit_Sub_Main
51,Typical School Chair and Table 15,465.63,Exit_Sub_Main
39,Typical School Chair and Table 9,466.55,Exit_Sub_Main
38,Typical School Chair and Table,477.58,Exit_Sub_Main
36,Typical School Chair and Table 13,485.87,Exit_Sub_Main
55,School Table,487.23,Exit_Sub_Main
48,School Table,491.37,Exit_Sub2
43,School Table,503.65,Exit_Sub3
52,Typical School Chair and Table 13,508.94,Exit_Sub_Main
46,Typical School Chair and Table 1,515.98,Exit_Sub_Main
57,Typical School Chair and Table 7,525.71,Exit_Sub2
50,School Table,529.45,Exit_Sub_Main
58,Typical School Chair and Table 1,533.38,Exit_Sub_Main
47,Typical School Chair and Table 13,542.74,Exit_Sub_Main
54,School Table,551.47,Exit_Sub3
45,Typical School Chair and Table 5,558.18,Exit_Sub_Main
63,Typical School Chair and Table 5,589.51,Exit_Sub_Main
56,School Table,593.07,Exit_Sub_Main
64,Typical School Chair and Table 19,593.54,Exit_Sub1
62,School Table,593.99,Exit_Sub3
59,School Table,596.32,Exit_Sub2
60,School Table,599.78,Exit_Sub_Main
65,Typical School Chair and Table 10,603.86,Exit_Sub3
53,School Table,622.25,Exit_Sub_Main
66,Typical School Chair and Table 5,641.28,Exit_Sub3
61,Typical School Chair and Table 14,646.60,Exit_Sub_Main
74,School Table,658.43,Exit_Sub3
70,Typical School Chair and Table 17,661.60,Exit_Sub_Main
69,School Table,668.35,Exit_Sub_Main
81,Typical School Chair and Table 1,673.79,Exit_Sub2
79,Typical School Chair and Table 12,678.82,Exit_Sub_Main
78,Typical School Chair and Table 7,683.60,Exit_Sub3
68,Typical School Chair and Table 2,684.02,Exit_Sub2
72,Typical School Chair and Table 6,706.53,Exit_Sub_Main
76,School Table,707.42,Exit_Sub1
73,School Table,707.86,Exit_Sub3
71,School Table,719.52,Exit_Sub_Main
67,water tank,732.95,Exit_Sub2
92,Typical School Chair and Table 9,737.90,Exit_Sub_Main
84,Typical School Chair and Table 20,737.90,Exit_Sub3
91,School Table,738.84,Exit_Sub2
82,Typical School Chair and Table 2,742.49,Exit_Sub1
80,Typical School Chair and Table 12,750.97,Exit_Sub_Main
77,School Table,756.70,Exit_Sub2
85,Typical School Chair and Table 11,760.31,Exit_Sub_Main
90,Typical School Chair and Table 12,762.12,Exit_Sub2
86,Typical School Chair and Table 15,763.95,Exit_Sub3
96,School Table,772.89,Exit_Sub3
87,School Table,775.64,Exit_Sub_Main
75,Typical School Chair and Table 6,779.04,Exit_Sub2
88,School Table,782.66,Exit_Sub_Main
94,School Table,793.32,Exit_Sub1
83,Typical School Chair and Table 4,795.57,Exit_Sub_Main
101,School Table,800.04,Exit_Sub_Main
97,School Table,803.47,Exit_Sub2
103,School Table,807.52,Exit_Sub3
89,Typical School Chair and Table,808.40,Exit_Sub1
93,School Table,818.91,Exit_Sub1
99,School Table,818.91,Exit_Sub_Main
95,Typical School Chair and Table 9,828.27,Exit_Sub_Main
98,Typical School Chair and Table 16,833.14,Exit_Sub2
109,Typical School Chair and Table 12,848.38,Exit_Sub_Main
102,School Table,858.14,Exit_Sub2
105,Typical School Chair and Table 16,867.78,Exit_Sub2
106,School Table,873.55,Exit_Sub_Main
107,Typical School Chair and Table 7,876.21,Exit_Sub3
100,School Table,914.20,Exit_Sub_Main
114,Typical School Chair and Table 10,916.47,Exit_Sub2
104,School Table,923.04,Exit_Sub_Main
112,Typical School Chair and Table 6,939.27,Exit_Sub3
108,Typical School Chair and Table 6,945.37,Exit_Sub_Main
116,School Table,963.29,Exit_Sub3
110,Typical School Chair and Table 9,975.92,Exit_Sub_Main
119,School Table,977.61,Exit_Sub1
120,Typical School Chair and Table 14,978.97,Exit_Sub2
115,Typical School Chair and Table 3,981.68,Exit_Sub2
111,School Table,993.33,Exit_Sub2
113,School Table,999.38,Exit_Sub_Main
118,Typical School Chair and Table 3,1009.29,Exit_Sub3
124,School Table,1018.87,Exit_Sub2
127,Typical School Chair and Table 17,1022.86,Exit_Sub_Main
121,Typical School Chair and Table 15,1023.30,Exit_Sub2
126,School Table,1034.00,Exit_Sub3
122,School Table,1036.70,Exit_Sub_Main
117,School Table,1042.00,Exit_Sub_Main
131,Typical School Chair and Table 7,1047.74,Exit_Sub1
125,Typical School Chair and Table 2,1055.03,Exit_Sub1
123,School Table,1056.23,Exit_Sub_Main
130,School Table,1059.83,Exit_Sub_Main
129,Typical School Chair and Table 6,1065.08,Exit_Sub1
135,School Table,1067.38,Exit_Sub3
132,Typical School Chair and Table 7,1085.78,Exit_Sub2
128,Typical School Chair and Table 4,1089.26,Exit_Sub_Main
133,Typical School Chair and Table 4,1090.10,Exit_Sub_Main
136,School Table,1103.41,Exit_Sub3
140,School Table,1105.14,Exit_Sub2
143,Typical School Chair and Table 2,1122.73,Exit_Sub3
141,Typical School Chair and Table 1,1133.71,Exit_Sub_Main
146,Typical School Chair and Table 16,1144.94,Exit_Sub2
134,Typical School Chair and Table 11,1146.26,Exit_Sub_Main
139,Typical School Chair and Table 20,1146.26,Exit_Sub3
149,School Table,1161.72,Exit_Sub_Main
137,Typical School Chair and Table 9,1165.19,Exit_Sub_Main
138,School Table,1166.03,Exit_Sub2
147,Typical School Chair and Table 11,1188.88,Exit_Sub_Main
148,Typical School Chair and Table 9,1192.84,Exit_Sub_Main
145,Typical School Chair and Table 20,1194.10,Exit_Sub3
142,School Table,1228.26,Exit_Sub_Main
144,Typical School Chair and Table 9,1234.71,Exit_Sub_Main
157,Typical School Chair and Table 2,1239.05,Exit_Sub2
153,School Table,1251.16,Exit_Sub3
158,School Table,1252.86,Exit_Sub3
150,School Table,1264.90,Exit_Sub_Main
156,School Table,1271.71,Exit_Sub3
152,School Table,1276.30,Exit_Sub2
165,Typical School Chair and Table 6,1291.07,Exit_Sub_Main
155,Typical School Chair and Table 3,1298.61,Exit_Sub1
151,Typical School Chair and Table 15,1299.03,Exit_Sub_Main
168,water tank 2,1302.41,Exit_Sub3
154,School Table,1307.45,Exit_Sub_Main
164,Typical School Chair and Table 17,1325.61,Exit_Sub_Main
162,Typical School Chair and Table 11,1328.54,Exit_Sub_Main
163,School Table,1353.52,Exit_Sub2
159,Typical School Chair and Table 3,1362.14,Exit_Sub2
160,Typical School Chair and Table 11,1367.15,Exit_Sub_Main
161,School Table,1369.86,Exit_Sub_Main
176,pedestal,1371.52,Exit_Sub2
171,School Table,1390.31,Exit_Sub2
177,Typical School Chair and Table 7,1391.14,Exit_Sub_Main
166,School Table,1424.79,Exit_Sub2
167,Typical School Chair and Table 14,1424.79,Exit_Sub_Main
169,School Table,1425.63,Exit_Sub3
179,Typical School Chair and Table 1,1429.83,Exit_Sub_Main
170,Typical School Chair and Table 10,1436.19,Exit_Sub3
187,pedestal,1454.54,Exit_Sub3
173,School Table,1468.05,Exit_Sub_Main
172,School Table,1475.43,Exit_Sub2
174,Typical School Chair and Table 1,1477.07,Exit_Sub3
180,School Table,1487.71,Exit_Sub_Main
186,School Table,1496.67,Exit_Sub1
175,School Table,1501.97,Exit_Sub_Main
188,School Table,1508.61,Exit_Sub_Main
178,Typical School Chair and Table 15,1510.26,Exit_Sub_Main
182,School Table,1510.26,Exit_Sub2
181,School Table,1529.51,Exit_Sub3
183,Typical School Chair and Table 20,1548.18,Exit_Sub_Main
185,Typical School Chair and Table 13,1552.27,Exit_Sub3
196,School Table,1568.34,Exit_Sub_Main
191,School Table,1578.08,Exit_Sub1
199,School Table,1587.57,Exit_Sub2
198,School Table,1590.91,Exit_Sub2
201,School Table,1591.75,Exit_Sub_Main
184,Typical School Chair and Table 15,1598.96,Exit_Sub_Main
190,School Table,1606.69,Exit_Sub_Main
189,School Table,1609.52,Exit_Sub2
195,Typical School Chair and Table 7,1631.97,Exit_Sub_Main
207,Typical School Chair and Table 13,1639.64,Exit_Sub3
200,Typical School Chair and Table 14,1644.11,Exit_Sub_Main
197,Typical School Chair and Table 19,1645.31,Exit_Sub3
204,Typical School Chair and Table 11,1646.93,Exit_Sub_Main
192,Typical School Chair and Table 19,1651.82,Exit_Sub_Main
193,Typical School Chair and Table 12,1657.85,Exit_Sub_Main
216,Typical School Chair and Table 9,1662.70,Exit_Sub_Main
212,Typical School Chair and Table 18,1671.87,Exit_Sub2
194,Typical School Chair and Table 18,1671.87,Exit_Sub3
206,School Table,1673.06,Exit_Sub_Main
211,Typical School Chair and Table 13,1688.20,Exit_Sub3
203,Typical School Chair and Table 4,1691.01,Exit_Sub3
210,School Table,1693.02,Exit_Sub3
209,School Table,1694.65,Exit_Sub1
215,School Table,1706.58,Exit_Sub2
208,School Table,1715.35,Exit_Sub2
213,School Table,1715.73,Exit_Sub_Main
202,School Table,1723.30,Exit_Sub_Main
221,Typical School Chair and Table 7,1732.00,Exit_Sub3
217,School Table,1735.95,Exit_Sub3
214,Typical School Chair and Table 5,1736.76,Exit_Sub3
220,School Table,1740.89,Exit_Sub2
205,School Table,1744.18,Exit_Sub2
219,School Table,1757.02,Exit_Sub3
222,School Table,1783.90,Exit_Sub_Main
234,pedestal,1784.73,Exit_Sub3
218,Typical School Chair and Table 3,1799.04,Exit_Sub2
241,School Table,1814.36,Exit_Sub2
227,School Table,1815.17,Exit_Sub3
226,Typical School Chair and Table 5,1820.68,Exit_Sub_Main
229,Typical School Chair and Table 2,1825.41,Exit_Sub1
224,School Table,1825.82,Exit_Sub_Main
228,Typical School Chair and Table,1827.80,Exit_Sub3
223,School Table,1833.35,Exit_Sub2
225,School Table,1837.69,Exit_Sub_Main
239,School Table,1838.88,Exit_Sub_Main
240,School Table,1843.19,Exit_Sub_Main
233,Typical School Chair and Table 20,1852.10,Exit_Sub_Main
237,School Table,1869.95,Exit_Sub2
246,School Table,1873.82,Exit_Sub3
235,Typical School Chair and Table 1,1874.60,Exit_Sub3
243,Typical School Chair and Table 1,1883.54,Exit_Sub_Main
232,School Table,1885.49,Exit_Sub3
238,Typical School Chair and Table 7,1887.82,Exit_Sub3
236,Typical School Chair and Table 2,1888.56,Exit_Sub2
244,School Table,1891.13,Exit_Sub2
230,School Table,1901.20,Exit_Sub2
231,School Table,1904.75,Exit_Sub_Main
251,Typical School Chair and Table 18,1913.26,Exit_Sub2
245,School Table,1926.62,Exit_Sub_Main
259,pedestal,1932.28,Exit_Sub2
250,Typical School Chair and Table 3,1942.68,Exit_Sub3
256,Typical School Chair and Table 5,1949.19,Exit_Sub_Main
242,Typical School Chair and Table 12,1953.83,Exit_Sub_Main
248,School Table,1954.64,Exit_Sub3
263,School Table,1988.42,Exit_Sub3
249,Typical School Chair and Table 4,1990.05,Exit_Sub3
265,Typical School Chair and Table 14,1992.74,Exit_Sub3
260,School Table,1998.15,Exit_Sub1
254,School Table,2002.38,Exit_Sub3
258,School Table,2006.30,Exit_Sub_Main
255,Typical School Chair and Table 5,2010.94,Exit_Sub_Main
261,Typical School Chair and Table 5,2014.01,Exit_Sub3
247,Typical School Chair and Table,2017.13,Exit_Sub_Main
272,School Table,2018.26,Exit_Sub2
253,Typical School Chair and Table,2024.31,Exit_Sub3
262,Typical School Chair and Table 3,2038.64,Exit_Sub2
266,Typical School Chair and Table 1,2042.88,Exit_Sub3
267,School Table,2046.36,Exit_Sub3
257,School Table,2053.95,Exit_Sub_Main
268,School Table,2058.50,Exit_Sub_Main
252,Typical School Chair and Table 19,2058.89,Exit_Sub_Main
270,School Table,2060.03,Exit_Sub_Main
269,Typical School Chair and Table 19,2072.81,Exit_Sub3
278,Typical School Chair and Table 18,2084.42,Exit_Sub2
264,School Table,2085.51,Exit_Sub_Main
274,Typical School Chair and Table 12,2100.84,Exit_Sub_Main
271,School Table,2112.12,Exit_Sub3
273,School Table,2115.18,Exit_Sub2
276,School Table,2143.58,Exit_Sub_Main
275,Typical School Chair and Table 11,2152.23,Exit_Sub_Main
285,School Table,2156.33,Exit_Sub3
279,Typical School Chair and Table 11,2160.51,Exit_Sub_Main
277,School Table,2162.03,Exit_Sub3
280,School Table,2162.79,Exit_Sub2
282,School Table,2174.29,Exit_Sub_Main
281,School Table,2207.33,Exit_Sub_Main
284,School Table,2209.20,Exit_Sub_Main
283,School Table,2209.96,Exit_Sub_Main
286,School Table,2211.12,Exit_Sub3
289,Typical School Chair and Table 20,2229.38,Exit_Sub_Main
292,Typical School Chair and Table 3,2232.46,Exit_Sub1
293,School Table,2242.21,Exit_Sub3
295,School Table,2252.35,Exit_Sub_Main
290,Typical School Chair and Table 5,2256.13,Exit_Sub_Main
288,Typical School Chair and Table 15,2266.47,Exit_Sub_Main
287,School Table,2267.98,Exit_Sub_Main
303,School Table,2286.73,Exit_Sub2
291,Typical School Chair and Table 6,2287.51,Exit_Sub_Main
296,School Table,2297.30,Exit_Sub3
302,School Table,2300.21,Exit_Sub_Main
294,School Table,2304.25,Exit_Sub_Main
307,Typical School Chair and Table 9,2309.68,Exit_Sub3
305,School Table,2318.49,Exit_Sub3
301,School Table,2319.95,Exit_Sub_Main
298,School Table,2321.82,Exit_Sub1
308,School Table,2332.38,Exit_Sub1
299,School Table,2334.21,Exit_Sub_Main
297,School Table,2340.10,Exit_Sub_Main
311,Typical School Chair and Table 5,2343.02,Exit_Sub_Main
300,School Table,2343.41,Exit_Sub1
319,School Table,2344.88,Exit_Sub_Main
317,Typical School Chair and Table 18,2350.60,Exit_Sub2
306,School Table,2350.60,Exit_Sub_Main
304,School Table,2353.58,Exit_Sub2
312,School Table,2360.78,Exit_Sub2
314,School Table,2363.65,Exit_Sub_Main
321,School Table,2371.94,Exit_Sub1
309,School Table,2374.47,Exit_Sub_Main
318,Typical School Chair and Table 13,2375.91,Exit_Sub_Main
315,Typical School Chair and Table 12,2380.29,Exit_Sub_Main
327,Typical School Chair and Table 13,2388.58,Exit_Sub_Main
316,Typical School Chair and Table,2392.59,Exit_Sub3
