AgentID,SpawnZone,EscapeTime(s),ExitUsed,Seed,ActiveSigns
926,stand,0.55,Exit_Sub3,0,7
798,School Table,9.12,Exit_Sub_Main,0,7
589,pedestal,12.92,Exit_Sub2,0,7
56,School Table,18.79,Exit_Sub_Main,0,7
444,Typical School Chair and Table 13,24.09,Exit_Sub_Main,0,7
169,Typical School Chair and Table 3,24.55,Exit_Sub2,0,7
542,pedestal,26.49,Exit_Sub3,0,7
200,Typical School Chair and Table 14,26.89,Exit_Sub3,0,7
385,School Table,30.22,Exit_Sub1,0,7
101,Typical School Chair and Table 10,31.73,Exit_Sub_Main,0,7
239,School Table,33.09,Exit_Sub2,0,7
238,pedestal,34.75,Exit_Sub2,0,7
480,pedestal,36.41,Exit_Sub_Main,0,7
344,School Table,36.68,Exit_Sub1,0,7
281,School Table,38.69,Exit_Sub_Main,0,7
551,School Table,38.88,Exit_Sub3,0,7
623,Typical School Chair and Table 16,39.34,Exit_Sub_Main,0,7
111,Typical School Chair and Table 16,40.32,Exit_Sub2,0,7
491,School Table,43.16,Exit_Sub2,0,7
611,pedestal,43.59,Exit_Sub1,0,7
2,School Table,46.24,Exit_Sub2,0,7
405,Typical School Chair and Table 5,46.29,Exit_Sub_Main,0,7
722,School Table,47.63,Exit_Sub_Main,0,7
376,School Table,47.76,Exit_Sub3,0,7
795,School Table,48.01,Exit_Sub3,0,7
900,School Table,48.47,Exit_Sub3,0,7
974,Typical School Chair and Table 10,48.81,Exit_Sub2,0,7
467,School Table,49.01,Exit_Sub2,0,7
707,Typical School Chair and Table,49.45,Exit_Sub1,0,7
800,School Table,49.45,Exit_Sub_Main,0,7
11,Typical School Chair and Table 18,49.52,Exit_Sub3,0,7
374,School Table,49.73,Exit_Sub3,0,7
63,Typical School Chair and Table 9,49.94,Exit_Sub_Main,0,7
425,School Table,52.14,Exit_Sub_Main,0,7
886,Typical School Chair and Table 19,52.64,Exit_Sub3,0,7
811,Typical School Chair and Table 19,52.76,Exit_Sub3,0,7
771,Typical School Chair and Table 15,52.78,Exit_Sub2,0,7
26,Typical School Chair and Table 13,54.31,Exit_Sub_Main,0,7
17,Typical School Chair and Table 1,55.62,Exit_Sub3,0,7
406,School Table,56.44,Exit_Sub3,0,7
933,School Table,57.66,Exit_Sub_Main,0,7
914,pedestal,57.70,Exit_Sub1,0,7
458,Typical School Chair and Table 14,57.89,Exit_Sub2,0,7
423,School Table,57.92,Exit_Sub_Main,0,7
237,Typical School Chair and Table 10,58.07,Exit_Sub_Main,0,7
834,School Table,58.17,Exit_Sub_Main,0,7
113,Typical School Chair and Table 13,58.26,Exit_Sub2,0,7
700,School Table,59.38,Exit_Sub_Main,0,7
380,School Table,59.58,Exit_Sub2,0,7
307,School Table,59.63,Exit_Sub_Main,0,7
941,School Table,59.98,Exit_Sub2,0,7
390,Typical School Chair and Table 11,60.15,Exit_Sub2,0,7
961,Typical School Chair and Table 5,60.95,Exit_Sub_Main,0,7
764,Typical School Chair and Table 19,61.43,Exit_Sub3,0,7
