Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Seed,ActiveSigns,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair (4)_noSmartSign,Zone_ZoneSensor (1)
0.00,0,1000,0.0000,0,0,0,270,246,81,403,0,0
1.01,1,999,0.0107,0,0,0,269,246,81,403,0,0
2.01,2,998,0.0227,0,0,0,268,246,81,403,0,0
3.02,2,998,0.0348,0,0,0,268,246,81,403,0,0
4.02,2,998,0.0465,0,0,0,268,246,81,403,0,0
5.03,2,998,0.0543,0,0,0,268,246,81,403,0,0
6.03,2,998,0.0685,0,0,0,268,246,81,403,0,0
7.03,2,998,0.0750,0,0,0,268,246,81,403,0,0
8.04,2,998,0.0786,0,0,0,268,246,81,403,0,0
9.05,2,998,0.0854,0,0,0,268,246,81,403,0,0
10.05,2,998,0.0919,0,0,0,268,246,81,403,0,0
11.06,2,998,0.1064,0,0,0,268,246,81,403,0,0
12.07,2,998,0.1071,0,0,0,268,246,81,403,0,0
13.07,3,997,0.1199,0,0,0,268,245,81,403,0,0
14.09,3,997,0.1161,0,0,0,268,245,81,403,0,0
15.09,5,995,0.1178,0,0,0,267,244,81,403,0,0
16.10,5,995,0.1246,0,0,0,267,244,81,403,0,0
17.11,5,995,0.1382,0,0,0,267,244,81,403,0,0
18.12,5,995,0.1426,0,0,0,267,244,81,403,0,0
19.12,6,994,0.1487,0,0,0,267,243,81,403,0,0
20.12,6,994,0.1612,2,0,0,267,243,81,403,0,2
21.12,6,994,0.1636,2,0,0,267,243,81,403,0,2
22.13,7,993,0.1728,0,0,0,267,243,81,402,0,0
23.13,8,992,0.1777,0,0,0,267,242,81,402,0,0
24.14,8,992,0.1763,0,0,0,267,242,81,402,0,0
25.15,10,990,0.1932,0,0,0,267,241,80,402,0,0
26.16,11,989,0.1905,0,0,0,266,241,80,402,0,0
27.16,11,989,0.2025,2,0,0,266,241,80,402,2,0
28.17,12,988,0.2246,2,0,0,265,241,80,402,2,2
29.18,14,986,0.2396,2,0,0,265,239,80,402,2,2
30.19,16,984,0.2449,4,0,0,265,238,80,401,4,0
31.20,17,983,0.2387,2,0,0,265,238,79,401,2,0
32.21,17,983,0.2480,4,0,0,265,238,79,401,4,2
33.21,18,982,0.2575,4,0,0,265,238,79,400,4,0
34.22,18,982,0.2655,2,0,0,265,238,79,400,2,0
35.22,21,979,0.2737,2,0,0,264,238,79,398,2,0
36.23,22,978,0.2735,2,0,0,263,238,79,398,2,0
37.24,24,976,0.2861,2,0,0,263,237,79,397,2,0
38.24,25,975,0.2896,2,0,0,262,237,79,397,2,0
39.25,25,975,0.3006,2,0,0,262,237,79,397,2,0
40.26,25,975,0.3056,2,0,0,262,237,79,397,2,0
41.26,26,974,0.3101,2,0,0,262,237,79,396,2,0
42.28,27,973,0.3143,0,0,0,261,237,79,396,0,0
43.28,28,972,0.3273,0,0,0,260,237,79,396,0,0
44.29,29,971,0.3385,2,0,0,260,237,78,396,0,2
45.30,31,969,0.3471,0,0,0,260,236,78,395,0,0
46.30,34,966,0.3495,2,0,0,259,235,77,395,0,2
47.30,37,963,0.3469,4,0,0,259,233,77,394,2,4
48.31,39,961,0.3575,4,0,0,259,232,77,393,2,4
49.32,44,956,0.3524,2,0,0,257,231,76,392,2,2
50.32,46,954,0.3511,2,0,0,256,231,76,391,2,0
51.32,46,954,0.3595,4,0,0,256,231,76,391,2,4
52.33,49,951,0.3708,2,0,0,256,229,76,390,2,2
53.34,53,947,0.3689,2,0,0,255,229,74,389,2,2
54.35,56,944,0.3669,2,0,0,254,228,74,388,2,0
55.36,59,941,0.3678,0,0,0,254,225,74,388,0,0
56.37,61,939,0.3657,0,0,0,253,224,74,388,0,0
57.37,61,939,0.3749,0,0,0,253,224,74,388,0,0
58.38,62,938,0.3808,0,0,0,253,224,73,388,0,0
59.39,62,938,0.3797,0,0,0,253,224,73,388,0,0
60.40,66,934,0.3845,0,0,0,252,223,72,387,0,0
61.42,70,930,0.4010,0,0,0,252,222,71,385,0,0
62.43,70,930,0.4072,2,0,0,252,222,71,385,2,0
63.43,72,928,0.4135,2,0,0,252,222,71,383,2,2
64.44,75,925,0.4200,2,0,0,252,221,71,381,2,2
65.44,77,923,0.4150,2,0,0,252,221,71,379,2,0
66.45,77,923,0.4270,0,0,0,252,221,71,379,0,0
67.45,78,922,0.4419,0,0,0,251,221,71,379,0,0
68.46,79,921,0.4453,0,0,0,251,221,71,378,0,0
69.46,82,918,0.4476,0,0,0,251,221,70,376,0,0
70.47,84,916,0.4627,2,0,0,249,221,70,376,2,2
71.47,86,914,0.4695,2,0,0,249,220,70,375,2,0
72.48,89,911,0.4682,2,0,0,248,220,68,375,2,0
73.49,91,909,0.4713,4,0,0,247,219,68,375,4,2
74.49,92,908,0.4853,2,0,0,247,219,68,374,2,0
75.49,92,908,0.4991,4,0,0,247,219,68,374,4,0
76.50,93,907,0.5035,6,0,0,246,219,68,374,6,0
77.51,93,907,0.5168,6,0,0,246,219,68,374,6,0
78.52,98,902,0.5204,6,0,0,243,219,68,372,6,4
79.52,100,900,0.5253,8,0,0,243,219,68,370,8,2
80.52,101,899,0.5301,4,0,0,243,219,68,369,4,0
81.52,103,897,0.5276,2,0,0,242,218,68,369,2,0
82.53,105,895,0.5384,2,0,0,242,217,68,368,2,2
83.54,107,893,0.5414,2,0,0,241,216,68,368,2,2
84.54,110,890,0.5464,2,0,0,240,215,68,367,2,2
85.55,115,885,0.5425,2,0,0,239,214,68,364,2,0
86.55,120,880,0.5309,2,0,0,238,213,67,362,2,0
87.56,122,878,0.5446,4,0,0,238,212,67,361,4,0
88.57,124,876,0.5425,2,0,0,238,211,67,360,2,0
89.57,125,875,0.5396,2,0,0,238,211,67,359,2,0
90.58,125,875,0.5528,4,0,0,238,211,67,359,2,4
91.59,125,875,0.5597,8,0,0,238,211,67,359,2,8
92.60,127,873,0.5728,6,0,0,238,211,67,357,2,6
93.60,132,868,0.5782,2,0,0,238,208,67,355,2,2
94.60,136,864,0.5931,4,0,0,236,206,67,355,4,2
95.61,141,859,0.5861,4,0,0,235,204,67,353,4,0
96.65,144,856,0.5907,6,0,0,233,204,67,352,6,0
97.65,147,853,0.5807,8,0,0,232,203,67,351,8,0
98.66,150,850,0.5884,8,0,0,231,203,67,349,8,2
99.66,157,843,0.5991,4,0,0,229,201,67,346,4,4
100.67,161,839,0.6003,6,0,0,228,199,67,345,4,6
101.68,163,837,0.6143,6,0,0,228,199,67,343,6,6
102.69,165,835,0.6149,8,0,0,227,198,67,343,6,8
103.70,171,829,0.6116,8,0,0,224,196,67,342,4,8
104.71,173,827,0.6170,6,0,0,224,195,67,341,4,6
105.71,180,820,0.6184,4,0,0,223,193,67,337,4,0
106.72,184,816,0.6259,4,0,0,222,191,67,336,4,0
107.73,186,814,0.6412,4,0,0,221,191,67,335,4,2
108.73,192,808,0.6589,4,0,0,219,188,67,334,4,2
109.74,193,807,0.6632,2,0,0,218,188,67,334,2,2
110.75,194,806,0.6848,2,0,0,217,188,67,334,2,2
111.76,200,800,0.6877,4,0,0,216,186,67,331,4,0
112.76,202,798,0.6850,2,0,0,215,186,67,330,2,2
113.76,203,797,0.6957,2,0,0,215,186,67,329,2,2
114.77,210,790,0.6926,2,0,0,211,185,66,328,2,0
115.77,217,783,0.7046,0,0,0,210,180,66,327,0,0
116.78,223,777,0.7236,0,0,0,208,178,66,325,0,0
117.78,227,773,0.7291,0,0,0,207,177,66,323,0,0
118.79,227,773,0.7375,0,0,0,207,177,66,323,0,0
119.80,231,769,0.7368,0,0,0,206,177,66,320,0,0
120.80,236,764,0.7288,0,0,0,203,177,65,319,0,0
121.81,240,760,0.7404,2,0,0,200,177,65,318,2,2
122.81,244,756,0.7538,4,0,0,199,177,64,316,4,2
123.81,252,748,0.7500,4,0,0,197,175,61,315,4,2
124.82,257,743,0.7356,6,0,0,195,175,60,313,6,2
125.83,257,743,0.7647,8,0,0,195,175,60,313,8,2
126.83,260,740,0.7658,8,0,0,195,174,60,311,8,6
127.84,263,737,0.7581,8,0,0,195,173,60,309,8,6
128.84,266,734,0.7719,6,0,0,195,172,60,307,6,4
129.85,268,732,0.7790,6,0,0,194,172,60,306,6,6
130.85,270,730,0.7821,4,0,0,194,172,60,304,2,4
131.86,272,728,0.7907,0,0,0,194,171,60,303,0,0
132.87,278,722,0.7826,2,0,0,192,170,60,300,2,2
133.87,279,721,0.8100,2,0,0,192,170,60,299,2,0
134.88,282,718,0.8138,4,0,0,192,167,60,299,4,0
135.89,284,716,0.8111,4,0,0,191,167,59,299,4,0
136.90,288,712,0.8066,2,0,0,190,167,59,296,2,0
137.91,293,707,0.8183,2,0,0,189,166,59,293,2,0
138.92,301,699,0.8188,0,0,0,189,163,59,288,0,0
139.93,305,695,0.8322,0,0,0,186,163,59,287,0,0
140.93,309,691,0.8267,2,0,0,186,160,59,286,0,2
