Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Group 5639,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair (4)_noSmartSign,Zone_ZoneSensor (1)
114.69,27,223,0.2238,104,47,12,56,26,82,0,104
115.80,28,222,0.2209,104,47,12,56,26,81,0,104
116.88,28,222,0.2262,104,47,12,56,26,81,0,104
117.93,32,218,0.2090,104,46,12,55,26,79,0,104
118.98,32,218,0.2127,104,46,12,55,26,79,0,104
120.12,32,218,0.2101,104,46,12,55,26,79,0,104
121.19,33,217,0.2168,104,45,12,55,26,79,0,104
122.30,33,217,0.2164,104,45,12,55,26,79,0,104
123.41,33,217,0.2146,104,45,12,55,26,79,0,104
124.42,33,217,0.2190,104,45,12,55,26,79,0,104
125.53,33,217,0.2160,104,45,12,55,26,79,0,104
126.65,33,217,0.2179,104,45,12,55,26,79,0,104
127.71,33,217,0.2188,104,45,12,55,26,79,0,104
128.75,33,217,0.2268,104,45,12,55,26,79,0,104
129.82,33,217,0.2278,104,45,12,55,26,79,0,104
130.86,33,217,0.2273,106,45,12,55,26,79,0,106
131.90,33,217,0.2224,106,45,12,55,26,79,0,106
133.02,33,217,0.2304,106,45,12,55,26,79,0,106
134.15,34,216,0.2229,106,45,12,54,26,79,0,106
135.33,35,215,0.2214,104,45,12,54,25,79,0,104
136.35,35,215,0.2211,104,45,12,54,25,79,0,104
137.47,35,215,0.2292,104,45,12,54,25,79,0,104
138.61,35,215,0.2281,104,45,12,54,25,79,0,104
139.76,35,215,0.2310,104,45,12,54,25,79,0,104
140.88,37,213,0.2329,104,45,12,54,25,77,0,104
142.00,37,213,0.2403,104,45,12,54,25,77,0,104
143.10,37,213,0.2404,104,45,12,54,25,77,0,104
144.24,37,213,0.2454,104,45,12,54,25,77,0,104
145.31,38,212,0.2402,104,45,12,53,25,77,0,104
146.45,38,212,0.2383,104,45,12,53,25,77,0,104
147.46,39,211,0.2317,104,45,11,53,25,77,0,104
148.57,40,210,0.2345,104,45,11,53,25,76,0,104
149.68,40,210,0.2435,104,45,11,53,25,76,0,104
150.77,41,209,0.2372,104,45,11,52,25,76,0,104
151.85,41,209,0.2337,104,45,11,52,25,76,0,104
152.96,41,209,0.2396,104,45,11,52,25,76,0,104
154.04,42,208,0.2414,104,45,11,51,25,76,0,104
155.14,42,208,0.2479,104,45,11,51,25,76,0,104
156.21,42,208,0.2503,104,45,11,51,25,76,0,104
157.27,42,208,0.2486,104,45,11,51,25,76,0,104
158.34,42,208,0.2498,104,45,11,51,25,76,0,104
159.37,43,207,0.2478,104,44,11,51,25,76,0,104
160.37,43,207,0.2506,104,44,11,51,25,76,0,104
161.49,44,206,0.2448,104,44,10,51,25,76,0,104
162.61,46,204,0.2332,104,43,10,50,25,76,0,104
163.75,46,204,0.2351,104,43,10,50,25,76,0,104
164.89,46,204,0.2337,104,43,10,50,25,76,0,104
166.06,46,204,0.2360,106,43,10,50,25,76,0,106
167.21,48,202,0.2425,106,42,10,49,25,76,0,106
168.33,49,201,0.2302,106,42,10,49,25,75,0,106
169.39,49,201,0.2275,106,42,10,49,25,75,0,106
170.42,50,200,0.2252,106,42,10,49,25,74,0,106
171.53,50,200,0.2198,106,42,10,49,25,74,0,106
172.58,50,200,0.2192,108,42,10,49,25,74,0,108
173.60,51,199,0.2246,108,42,10,49,25,73,0,108
174.60,51,199,0.2283,108,42,10,49,25,73,0,108
175.63,51,199,0.2295,108,42,10,49,25,73,0,108
176.64,51,199,0.2237,108,42,10,49,25,73,0,108
177.65,52,198,0.2183,108,42,10,48,25,73,0,108
178.97,53,197,0.2110,108,42,10,48,25,72,0,108
180.04,54,196,0.2158,108,42,10,48,24,72,0,108
181.07,54,196,0.2120,108,42,10,48,24,72,0,108
182.17,54,196,0.2119,108,42,10,48,24,72,0,108
183.29,54,196,0.2141,108,42,10,48,24,72,0,108
184.34,54,196,0.2196,108,42,10,48,24,72,0,108
185.42,54,196,0.2187,108,42,10,48,24,72,0,108
186.48,55,195,0.2185,108,42,10,47,24,72,0,108
187.61,55,195,0.2207,108,42,10,47,24,72,0,108
188.65,55,195,0.2226,108,42,10,47,24,72,0,108
189.71,55,195,0.2232,108,42,10,47,24,72,0,108
190.81,56,194,0.2324,108,41,10,47,24,72,0,108
191.82,56,194,0.2384,108,41,10,47,24,72,0,108
192.89,56,194,0.2401,108,41,10,47,24,72,0,108
194.01,56,194,0.2468,108,41,10,47,24,72,0,108
195.03,57,193,0.2522,108,41,10,46,24,72,0,108
196.06,57,193,0.2501,108,41,10,46,24,72,0,108
197.13,57,193,0.2495,108,41,10,46,24,72,0,108
198.18,58,192,0.2494,108,41,10,46,24,71,0,108
199.20,59,191,0.2429,108,40,10,46,24,71,0,108
200.30,61,189,0.2307,108,40,10,44,24,71,0,108
201.36,61,189,0.2449,108,40,10,44,24,71,0,108
202.37,61,189,0.2391,108,40,10,44,24,71,0,108
203.48,62,188,0.2422,108,40,10,43,24,71,0,108
204.59,62,188,0.2431,108,40,10,43,24,71,0,108
205.64,62,188,0.2469,108,40,10,43,24,71,0,108
206.74,64,186,0.2462,108,40,9,43,24,70,0,108
207.82,65,185,0.2432,108,40,9,42,24,70,0,108
208.89,66,184,0.2353,108,40,9,42,24,69,0,108
210.01,66,184,0.2327,108,40,9,42,24,69,0,108
211.14,66,184,0.2379,108,40,9,42,24,69,0,108
212.27,66,184,0.2324,108,40,9,42,24,69,0,108
213.39,66,184,0.2441,108,40,9,42,24,69,0,108
214.54,67,183,0.2406,108,39,9,42,24,69,0,108
215.56,67,183,0.2602,108,39,9,42,24,69,0,108
216.69,70,180,0.2448,108,39,9,42,23,67,0,108
217.71,70,180,0.2466,108,39,9,42,23,67,0,108
218.83,70,180,0.2599,108,39,9,42,23,67,0,108
219.85,70,180,0.2558,108,39,9,42,23,67,0,108
220.88,70,180,0.2539,108,39,9,42,23,67,0,108
221.92,70,180,0.2603,108,39,9,42,23,67,0,108
223.15,70,180,0.2684,110,39,9,42,23,67,0,110
224.27,71,179,0.2746,110,39,9,42,23,66,0,110
225.35,71,179,0.2726,110,39,9,42,23,66,0,110
226.49,71,179,0.2733,110,39,9,42,23,66,0,110
227.53,71,179,0.2894,110,39,9,42,23,66,0,110
228.65,71,179,0.2964,110,39,9,42,23,66,0,110
229.75,71,179,0.2945,110,39,9,42,23,66,0,110
230.83,71,179,0.3223,110,39,9,42,23,66,0,110
231.90,72,178,0.3222,110,39,9,42,23,65,0,110
232.97,72,178,0.3367,110,39,9,42,23,65,0,110
234.05,72,178,0.3431,110,39,9,42,23,65,0,110
235.05,72,178,0.3486,110,39,9,42,23,65,0,110
236.15,73,177,0.3538,110,39,9,42,23,64,0,110
237.21,73,177,0.3609,110,39,9,42,23,64,0,110
238.23,73,177,0.3674,110,39,9,42,23,64,0,110
239.38,73,177,0.3699,110,39,9,42,23,64,0,110
240.40,74,176,0.3529,110,39,9,41,23,64,2,110
241.45,74,176,0.3686,110,39,9,41,23,64,2,110
242.52,74,176,0.3899,110,39,9,41,23,64,2,110
243.58,76,174,0.3853,110,39,9,39,23,64,2,110
244.67,76,174,0.3843,110,39,9,39,23,64,2,110
245.75,76,174,0.3864,110,39,9,39,23,64,0,110
246.76,76,174,0.4012,110,39,9,39,23,64,0,110
247.78,76,174,0.4248,110,39,9,39,23,64,0,110
248.88,79,171,0.4144,110,38,9,39,22,63,0,110
249.97,79,171,0.4121,110,38,9,39,22,63,0,110
251.06,79,171,0.4126,110,38,9,39,22,63,0,110
252.15,81,169,0.4041,110,38,9,38,21,63,0,110
253.27,81,169,0.3990,110,38,9,38,21,63,0,110
254.38,81,169,0.3997,110,38,9,38,21,63,0,110
255.44,82,168,0.3991,110,38,9,37,21,63,0,110
256.56,82,168,0.3975,110,38,9,37,21,63,0,110
257.64,82,168,0.4038,112,38,9,37,21,63,0,112
258.69,84,166,0.3843,112,38,9,37,21,61,0,112
259.82,85,165,0.3841,112,38,9,37,21,60,0,112
260.86,85,165,0.3825,112,38,9,37,21,60,0,112
261.91,85,165,0.3832,112,38,9,37,21,60,0,112
263.02,85,165,0.3870,112,38,9,37,21,60,0,112
264.09,85,165,0.3988,112,38,9,37,21,60,0,112
265.13,85,165,0.3940,112,38,9,37,21,60,0,112
266.15,85,165,0.3952,112,38,9,37,21,60,0,112
267.17,86,164,0.3819,112,38,9,36,21,60,0,112
268.24,86,164,0.3974,112,38,9,36,21,60,0,112
269.33,88,162,0.3934,112,37,9,36,20,60,0,112
270.35,89,161,0.4015,112,37,9,36,20,59,0,112
271.42,89,161,0.4060,112,37,9,36,20,59,2,112
272.47,90,160,0.4151,112,36,9,36,20,59,2,112
273.48,90,160,0.4184,112,36,9,36,20,59,2,112
274.59,90,160,0.4416,112,36,9,36,20,59,2,112
275.60,92,158,0.4385,112,36,9,36,20,57,2,112
276.65,92,158,0.4372,112,36,9,36,20,57,0,112
277.67,93,157,0.4279,112,36,9,36,20,56,0,112
278.80,93,157,0.4209,112,36,9,36,20,56,0,112
279.80,93,157,0.4398,114,36,9,36,20,56,0,114
280.92,94,156,0.4373,114,36,9,36,20,55,0,114
282.05,95,155,0.4241,114,35,9,36,20,55,0,114
283.13,96,154,0.4325,114,35,9,36,19,55,0,114
284.15,98,152,0.4168,114,35,9,35,19,54,0,114
285.26,100,150,0.4000,116,34,9,35,19,53,0,116
286.27,101,149,0.4018,116,34,9,35,19,52,0,116
287.36,101,149,0.4049,116,34,9,35,19,52,0,116
288.45,102,148,0.3967,116,34,9,35,19,51,0,116
289.50,102,148,0.3969,116,34,9,35,19,51,0,116
290.57,103,147,0.3947,116,33,9,35,19,51,0,116
291.67,104,146,0.4061,116,33,9,34,19,51,0,116
292.74,107,143,0.3851,116,32,9,34,18,50,0,116
293.78,107,143,0.3997,116,32,9,34,18,50,0,116
294.88,107,143,0.4029,116,32,9,34,18,50,0,116
295.94,108,142,0.4109,116,32,9,34,18,49,0,116
296.99,109,141,0.4152,116,31,9,34,18,49,0,116
298.03,111,139,0.4072,116,31,9,34,17,48,0,116
299.09,111,139,0.4422,116,31,9,34,17,48,0,116
