AgentID,SpawnZone,EscapeTime(s),ExitUsed,Seed,ActiveSigns
624,School Table,277.77,Exit_Sub_Main,0,10
27,School Table,278.30,Exit_Sub2,0,10
314,Typical School Chair and Table 5,278.79,Exit_Sub_Main,0,10
666,School Table,278.79,Exit_Sub1,0,10
440,Typical School Chair and Table 17,279.04,Exit_Sub1,0,10
123,Typical School Chair and Table 5,279.31,Exit_Sub1,0,10
302,School Table,279.65,Exit_Sub2,0,10
779,School Table,280.46,Exit_Sub3,0,10
1000,School Table,280.47,Exit_Sub1,0,10
199,School Table,280.63,Exit_Sub2,0,10
533,Typical School Chair and Table 1,281.04,Exit_Sub1,0,10
469,Typical School Chair and Table 5,281.74,Exit_Sub3,0,10
882,School Table,282.52,Exit_Sub3,0,10
999,Typical School Chair and Table 4,282.76,Exit_Sub3,0,10
709,Typical School Chair and Table 11,283.28,Exit_Sub3,0,10
456,Typical School Chair and Table 9,283.70,Exit_Sub1,0,10
318,Typical School Chair and Table 14,284.14,Exit_Sub1,0,10
493,School Table,284.40,Exit_Sub3,0,10
401,Typical School Chair and Table 13,284.71,Exit_Sub1,0,10
162,School Table,285.57,Exit_Sub1,0,10
536,Typical School Chair and Table 3,285.93,Exit_Sub1,0,10
432,School Table,286.44,Exit_Sub3,0,10
606,School Table,287.56,Exit_Sub1,0,10
577,School Table,288.16,Exit_Sub1,0,10
122,Typical School Chair and Table 10,288.63,Exit_Sub1,0,10
82,School Table,288.84,Exit_Sub1,0,10
234,School Table,288.98,Exit_Sub1,0,10
206,School Table,288.98,Exit_Sub3,0,10
983,School Table,289.36,Exit_Sub3,0,10
917,School Table,289.45,Exit_Sub_Main,0,10
270,Typical School Chair and Table 8,289.79,Exit_Sub3,0,10
653,School Table,289.94,Exit_Sub3,0,10
863,School Table,290.87,Exit_Sub2,0,10
673,Typical School Chair and Table 20,291.06,Exit_Sub3,0,10
775,School Table,291.21,Exit_Sub1,0,10
563,School Table,292.23,Exit_Sub1,0,10
448,School Table,293.72,Exit_Sub3,0,10
67,Typical School Chair and Table 1,293.93,Exit_Sub1,0,10
827,School Table,294.16,Exit_Sub3,0,10
522,School Table,294.67,Exit_Sub1,0,10
496,School Table,295.02,Exit_Sub3,0,10
81,Typical School Chair and Table 2,295.15,Exit_Sub3,0,10
427,School Table,295.15,Exit_Sub1,0,10
262,Typical School Chair and Table,296.24,Exit_Sub3,0,10
415,School Table,296.30,Exit_Sub3,0,10
368,Typical School Chair and Table 20,296.90,Exit_Sub3,0,10
53,Typical School Chair and Table 14,297.16,Exit_Sub_Main,0,10
78,Typical School Chair and Table 9,297.54,Exit_Sub3,0,10
412,Typical School Chair and Table,297.93,Exit_Sub_Main,0,10
662,School Table,298.26,Exit_Sub3,0,10
313,School Table,299.56,Exit_Sub1,0,10
