AgentID,SpawnZone,EscapeTime(s),ExitUsed,Seed,ActiveSigns
926,stand,0.55,Exit_Sub3,0,5
423,School Table,14.16,Exit_Sub_Main,0,5
900,School Table,15.90,Exit_Sub3,0,5
185,Typical School Chair and Table 2,16.81,Exit_Sub3,0,5
296,Typical School Chair and Table 11,21.34,Exit_Sub_Main,0,5
611,pedestal,23.59,Exit_Sub1,0,5
729,Typical School Chair and Table 12,26.33,Exit_Sub_Main,0,5
707,Typical School Chair and Table,27.42,Exit_Sub1,0,5
913,School Table,32.97,Exit_Sub2,0,5
940,Typical School Chair and Table 16,35.77,Exit_Sub1,0,5
29,Typical School Chair and Table 8,37.33,Exit_Sub_Main,0,5
172,School Table,37.91,Exit_Sub2,0,5
489,Typical School Chair and Table 10,38.78,Exit_Sub2,0,5
58,Typical School Chair and Table 13,39.51,Exit_Sub2,0,5
532,Typical School Chair and Table 18,40.30,Exit_Sub1,0,5
385,School Table,40.91,Exit_Sub1,0,5
692,School Table,41.29,Exit_Sub_Main,0,5
50,School Table,42.68,Exit_Sub2,0,5
982,Typical School Chair and Table 3,43.05,Exit_Sub3,0,5
914,pedestal,43.33,Exit_Sub1,0,5
667,Typical School Chair and Table 9,44.00,Exit_Sub3,0,5
473,Typical School Chair and Table 17,44.21,Exit_Sub3,0,5
795,School Table,44.85,Exit_Sub3,0,5
171,Typical School Chair and Table 3,45.57,Exit_Sub3,0,5
63,Typical School Chair and Table 9,46.71,Exit_Sub_Main,0,5
830,School Table,46.96,Exit_Sub3,0,5
802,School Table,47.05,Exit_Sub3,0,5
326,School Table,47.69,Exit_Sub2,0,5
231,Typical School Chair and Table,48.51,Exit_Sub1,0,5
43,pedestal,48.92,Exit_Sub2,0,5
542,pedestal,50.25,Exit_Sub3,0,5
851,School Table,50.34,Exit_Sub2,0,5
273,Typical School Chair and Table 6,51.33,Exit_Sub3,0,5
834,School Table,53.42,Exit_Sub_Main,0,5
4,School Table,56.15,Exit_Sub1,0,5
426,Typical School Chair and Table 11,56.63,Exit_Sub_Main,0,5
803,School Table,57.79,Exit_Sub_Main,0,5
554,Typical School Chair and Table 18,58.85,Exit_Sub2,0,5
447,Typical School Chair and Table 2,58.95,Exit_Sub3,0,5
698,School Table,59.23,Exit_Sub3,0,5
277,Typical School Chair and Table 6,59.80,Exit_Sub2,0,5
613,pedestal,59.82,Exit_Sub3,0,5
312,School Table,60.45,Exit_Sub3,0,5
399,School Table,60.75,Exit_Sub1,0,5
705,Typical School Chair and Table 1,62.65,Exit_Sub2,0,5
728,pedestal,62.74,Exit_Sub2,0,5
805,Typical School Chair and Table 3,62.74,Exit_Sub1,0,5
