Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair,Zone_ZoneSensor (1),Zone_ZoneSensor stair (6),Zone_ZoneSensor stair (4)_noSmartSign
0.00,0,1000,0.0000,158,251,273,89,387,0,158,0,0
1.39,0,1000,0.0015,158,251,273,89,387,0,158,0,0
2.79,1,999,0.0000,158,250,273,89,387,0,158,0,0
4.18,1,999,0.0000,158,250,273,89,387,0,158,0,0
5.62,1,999,0.0000,158,250,273,89,387,0,158,0,0
7.00,1,999,0.0000,158,250,273,89,387,0,158,0,0
8.41,1,999,0.0000,158,250,273,89,387,0,158,0,0
9.80,1,999,0.0000,158,250,273,89,387,0,158,0,0
11.19,1,999,0.0000,158,250,273,89,387,0,158,0,0
12.54,1,999,0.0000,158,250,273,89,387,0,158,0,0
13.93,1,999,0.0000,158,250,273,89,387,0,158,0,0
15.38,1,999,0.0000,158,250,273,89,387,0,158,0,0
16.84,1,999,0.0000,158,250,273,89,387,0,158,0,0
18.31,1,999,0.0000,158,250,273,89,387,0,158,0,0
19.72,1,999,0.0015,158,250,273,89,387,0,158,0,0
21.10,1,999,0.0015,158,250,273,89,387,0,158,0,0
22.48,1,999,0.0015,158,250,273,89,387,0,158,0,0
23.88,1,999,0.0015,158,250,273,89,387,0,158,0,0
25.28,1,999,0.0015,158,250,273,89,387,0,158,0,0
26.67,1,999,0.0015,158,250,273,89,387,0,158,0,0
28.06,1,999,0.0015,158,250,273,89,387,0,158,0,0
29.46,1,999,0.0015,158,250,273,89,387,0,158,0,0
30.84,1,999,0.0012,158,250,273,89,387,0,158,0,0
32.21,1,999,0.0007,158,250,273,89,387,0,158,0,0
33.62,1,999,0.0000,158,250,273,89,387,0,158,0,0
35.07,1,999,0.0019,158,250,273,89,387,0,158,0,0
36.08,1,999,0.0025,158,250,273,89,387,0,158,0,0
37.87,1,999,0.0030,158,250,273,89,387,0,158,0,0
39.24,1,999,0.0034,158,250,273,89,387,0,158,0,0
40.66,1,999,0.0030,158,250,273,89,387,0,158,0,0
42.02,1,999,0.0030,158,250,273,89,387,0,158,0,0
43.39,1,999,0.0030,158,250,273,89,387,0,158,0,0
44.75,1,999,0.0030,158,250,273,89,387,0,158,0,0
46.05,1,999,0.0043,158,250,273,89,387,0,158,0,0
47.31,1,999,0.0042,158,250,273,89,387,0,158,0,0
48.58,1,999,0.0045,158,250,273,89,387,0,158,0,0
49.89,1,999,0.0045,158,250,273,89,387,0,158,0,0
51.33,1,999,0.0045,158,250,273,89,387,0,158,0,0
52.34,1,999,0.0045,158,250,273,89,387,0,158,0,0
53.77,1,999,0.0045,158,250,273,89,387,0,158,0,0
54.98,1,999,0.0045,158,250,273,89,387,0,158,0,0
56.27,1,999,0.0045,158,250,273,89,387,0,158,0,0
57.64,1,999,0.0045,158,250,273,89,387,0,158,0,0
58.94,1,999,0.0052,158,250,273,89,387,0,158,0,0
60.25,1,999,0.0045,158,250,273,89,387,0,158,0,0
61.55,1,999,0.0045,158,250,273,89,387,0,158,0,0
62.85,1,999,0.0045,158,250,273,89,387,0,158,0,0
64.24,1,999,0.0060,158,250,273,89,387,0,158,0,0
65.26,1,999,0.0060,158,250,273,89,387,0,158,0,0
66.67,1,999,0.0057,158,250,273,89,387,0,158,0,0
67.69,1,999,0.0060,158,250,273,89,387,0,158,0,0
69.13,1,999,0.0057,158,250,273,89,387,0,158,0,0
70.50,1,999,0.0058,158,250,273,89,387,0,158,0,0
71.83,1,999,0.0060,158,250,273,89,387,0,158,0,0
73.19,1,999,0.0060,158,250,273,89,387,0,158,0,0
74.63,1,999,0.0059,158,250,273,89,387,0,158,0,0
75.64,1,999,0.0059,158,250,273,89,387,0,158,0,0
77.05,1,999,0.0059,158,250,273,89,387,0,158,0,0
78.47,1,999,0.0056,158,250,273,89,387,0,158,0,0
79.92,1,999,0.0056,158,250,273,89,387,0,158,0,0
81.33,1,999,0.0074,158,250,273,89,387,0,158,0,0
82.58,1,999,0.0073,158,250,273,89,387,0,158,0,0
84.00,1,999,0.0070,158,250,273,89,387,0,158,0,0
85.34,1,999,0.0072,158,250,273,89,387,0,158,0,0
86.75,1,999,0.0084,158,250,273,89,387,0,158,0,0
88.06,1,999,0.0074,158,250,273,89,387,0,158,0,0
89.37,1,999,0.0073,158,250,273,89,387,0,158,0,0
90.70,1,999,0.0072,158,250,273,89,387,0,158,0,0
92.03,1,999,0.0073,158,250,273,89,387,0,158,0,0
93.37,1,999,0.0074,158,250,273,89,387,0,158,0,0
94.63,1,999,0.0075,158,250,273,89,387,0,158,0,0
96.04,1,999,0.0072,158,250,273,89,387,0,158,0,0
97.36,1,999,0.0072,158,250,273,89,387,0,158,0,0
98.67,1,999,0.0073,158,250,273,89,387,0,158,0,0
100.02,1,999,0.0075,158,250,273,89,387,0,158,0,0
101.43,1,999,0.0087,158,250,273,89,387,0,158,0,0
102.80,1,999,0.0088,158,250,273,89,387,0,158,0,0
104.12,1,999,0.0087,158,250,273,89,387,0,158,0,0
105.46,1,999,0.0091,158,250,273,89,387,0,158,0,0
106.76,1,999,0.0086,158,250,273,89,387,0,158,0,0
108.06,1,999,0.0087,158,250,273,89,387,0,158,0,0
109.37,1,999,0.0089,158,250,273,89,387,0,158,0,0
110.70,1,999,0.0090,158,250,273,89,387,0,158,0,0
112.02,1,999,0.0092,158,250,273,89,387,0,158,0,0
113.33,1,999,0.0090,158,250,273,89,387,0,158,0,0
114.61,1,999,0.0092,158,250,273,89,387,0,158,0,0
115.96,1,999,0.0093,158,250,273,89,387,0,158,0,0
117.25,1,999,0.0095,158,250,273,89,387,0,158,0,0
118.55,1,999,0.0105,158,250,273,89,387,0,158,0,0
119.86,1,999,0.0120,158,250,273,89,387,0,158,0,0
121.17,1,999,0.0120,158,250,273,89,387,0,158,0,0
122.49,1,999,0.0131,158,250,273,89,387,0,158,0,0
123.85,1,999,0.0133,158,250,273,89,387,0,158,0,0
125.17,1,999,0.0135,158,250,273,89,387,0,158,0,0
126.46,1,999,0.0132,158,250,273,89,387,0,158,0,0
127.76,1,999,0.0130,158,250,273,89,387,0,158,0,0
129.05,1,999,0.0127,158,250,273,89,387,0,158,0,0
130.36,1,999,0.0125,158,250,273,89,387,0,158,0,0
131.67,1,999,0.0125,158,250,273,89,387,0,158,0,0
133.06,1,999,0.0136,158,250,273,89,387,0,158,0,0
134.35,1,999,0.0133,158,250,273,89,387,0,158,0,0
135.67,1,999,0.0135,158,250,273,89,387,0,158,0,0
136.97,1,999,0.0142,158,250,273,89,387,0,158,0,0
138.26,1,999,0.0146,158,250,273,89,387,0,158,0,0
139.58,2,998,0.0131,158,250,273,89,386,0,158,0,0
140.92,2,998,0.0136,158,250,273,89,386,0,158,0,0
142.26,2,998,0.0136,158,250,273,89,386,0,158,0,0
143.56,3,997,0.0119,158,250,273,89,385,0,158,0,0
144.94,3,997,0.0118,158,250,273,89,385,0,158,0,0
146.33,4,996,0.0105,158,250,273,89,384,0,158,0,0
147.65,4,996,0.0106,158,250,273,89,384,0,158,0,0
148.94,4,996,0.0105,158,250,273,89,384,0,158,0,0
150.09,4,996,0.0106,158,250,273,89,384,0,158,0,0
151.39,4,996,0.0103,158,250,273,89,384,0,158,0,0
152.70,4,996,0.0100,158,250,273,89,384,0,158,0,0
153.99,4,996,0.0118,158,250,273,89,384,0,158,0,0
155.29,4,996,0.0119,158,250,273,89,384,0,158,0,0
156.57,4,996,0.0118,158,250,273,89,384,0,158,0,0
157.87,4,996,0.0120,160,250,273,89,384,0,160,0,0
159.18,4,996,0.0120,162,250,273,89,384,0,162,0,0
160.48,4,996,0.0118,162,250,273,89,384,0,162,0,0
161.79,5,995,0.0105,160,250,273,89,383,0,160,0,0
163.12,5,995,0.0101,160,250,273,89,383,0,160,0,0
164.42,5,995,0.0106,160,250,273,89,383,0,160,0,0
165.82,5,995,0.0108,160,250,273,89,383,0,160,0,0
166.97,5,995,0.0124,160,250,273,89,383,0,160,0,0
168.28,5,995,0.0122,160,250,273,89,383,0,160,0,0
169.56,5,995,0.0120,160,250,273,89,383,0,160,0,0
170.86,5,995,0.0135,160,250,273,89,383,0,160,0,0
