Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Seed,ActiveSigns,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor (1),Zone_ZoneSensor stair (8),Zone_ZoneSensor stair (4)_noSmartSign,Zone_ZoneSensor stair (2),Zone_ZoneSensor stair (1),Zone_ZoneSensor stair (3),Zone_ZoneSensor stair (10),Zone_ZoneSensor stair,Zone_ZoneSensor stair (5)
316.9,986,14,1.1706,0,0,7,0,0,14,0,0,0,0,0,0,0,0,0,0
317.9,986,14,1.1762,0,0,7,0,0,14,0,0,0,0,0,0,0,0,0,0
318.91,986,14,1.2084,0,0,7,0,0,14,0,0,0,0,0,0,0,0,0,0
319.91,987,13,1.2922,0,0,7,0,0,13,0,0,0,0,0,0,0,0,0,0
320.91,989,11,1.284,0,0,7,0,0,11,0,0,0,0,0,0,0,0,0,0
321.92,990,10,1.3214,0,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0
322.92,992,8,1.2923,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0
323.92,992,8,1.3532,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0
324.93,993,7,1.403,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0
325.93,995,5,1.2524,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0
326.94,995,5,1.2561,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0
327.94,997,3,1.4311,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0
328.95,998,2,1.3253,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0
329.95,998,2,1.2715,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0
330.96,999,1,1.5207,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0
