Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair,Zone_ZoneSensor (1),Zone_ZoneSensor stair (6),Zone_ZoneSensor stair (4)_noSmartSign
0.00,0,1000,0.0000,836,245,238,84,433,0,836,0,0
1.40,0,1000,0.0000,836,245,238,84,433,0,836,0,0
2.83,0,1000,0.0000,836,245,238,84,433,0,836,0,0
4.20,0,1000,0.0000,836,245,238,84,433,0,836,0,0
5.59,0,1000,0.0000,836,245,238,84,433,0,836,0,0
6.98,0,1000,0.0000,836,245,238,84,433,0,836,0,0
8.44,0,1000,0.0000,836,245,238,84,433,0,836,0,0
9.80,0,1000,0.0000,836,245,238,84,433,0,836,0,0
11.19,0,1000,0.0000,836,245,238,84,433,0,836,0,0
12.60,0,1000,0.0000,836,245,238,84,433,0,836,0,0
14.04,0,1000,0.0000,836,245,238,84,433,0,836,0,0
15.44,0,1000,0.0000,836,245,238,84,433,0,836,0,0
16.82,0,1000,0.0000,836,245,238,84,433,0,836,0,0
18.23,0,1000,0.0000,836,245,238,84,433,0,836,0,0
19.61,0,1000,0.0015,836,245,238,84,433,0,836,0,0
20.97,0,1000,0.0015,836,245,238,84,433,0,836,0,0
22.37,0,1000,0.0015,836,245,238,84,433,0,836,0,0
23.74,0,1000,0.0013,836,245,238,84,433,0,836,0,0
25.10,0,1000,0.0004,836,245,238,84,433,0,836,0,0
26.46,0,1000,0.0005,836,245,238,84,433,0,836,0,0
27.87,0,1000,0.0015,836,245,238,84,433,0,836,0,0
29.25,0,1000,0.0042,836,245,238,84,433,0,836,0,0
30.64,0,1000,0.0045,836,245,238,84,433,0,836,0,0
32.02,0,1000,0.0045,836,245,238,84,433,0,836,0,0
33.41,0,1000,0.0045,836,245,238,84,433,0,836,0,0
34.80,0,1000,0.0045,836,245,238,84,433,0,836,0,0
36.23,0,1000,0.0045,836,245,238,84,433,0,836,0,0
37.63,1,999,0.0030,836,245,238,83,433,0,836,0,0
38.66,1,999,0.0027,836,245,238,83,433,0,836,0,0
40.06,1,999,0.0030,836,245,238,83,433,0,836,0,0
41.44,1,999,0.0030,836,245,238,83,433,0,836,0,0
42.81,1,999,0.0030,836,245,238,83,433,0,836,0,0
