AgentID,SpawnZone,EscapeTime(s),ExitUsed
106,School Table,0.02,Group 5639
159,School Table,0.02,Group 5639
105,stand,0.86,Exit_Sub3
247,pedestal,0.96,Exit_Sub2
238,pedestal,15.03,Exit_Sub1
223,Typical School Chair and Table 7,19.62,Exit_Sub3
249,Typical School Chair and Table 9,23.13,Exit_Sub3
240,Typical School Chair and Table 9,25.12,Exit_Sub3
208,School Table,33.31,Exit_Sub3
165,School Table,34.05,Group 5639
221,School Table,35.28,Exit_Sub_Main
118,pedestal,37.00,Group 5639
111,pedestal,38.03,Exit_Sub3
245,Typical School Chair and Table 16,38.35,Exit_Sub2
226,Typical School Chair and Table 10,39.65,Exit_Sub1
188,Typical School Chair and Table 8,45.34,Exit_Sub_Main
174,Typical School Chair and Table 11,46.01,Exit_Sub2
206,School Table,48.48,Exit_Sub_Main
70,School Table,51.65,Group 5639
93,Typical School Chair and Table 19,52.33,Group 5639
236,School Table,52.36,Group 5639
227,School Table,54.23,Exit_Sub_Main
143,School Table,55.22,Exit_Sub2
243,School Table,56.35,Exit_Sub_Main
44,pedestal,56.55,Group 5639
168,School Table,57.09,Exit_Sub2
124,School Table,58.10,Exit_Sub2
215,School Table,58.87,Group 5639
1,Typical School Chair and Table 15,0.13,Exit_Sub_Main
2,School Table,0.13,Exit_Sub1
3,Typical School Chair and Table 7,0.13,Group 5639
4,pedestal,0.13,Exit_Sub2
5,Typical School Chair and Table 9,0.13,Exit_Sub3
6,School Table,0.13,Exit_Sub_Main
7,pedestal,0.13,Exit_Sub3
8,School Table,0.13,Exit_Sub_Main
9,Typical School Chair and Table 4,0.13,Exit_Sub_Main
10,School Table,0.13,Group 5639
11,School Table,0.13,Exit_Sub2
12,Typical School Chair and Table 19,0.13,Exit_Sub_Main
13,School Table,0.13,Exit_Sub2
14,Typical School Chair and Table 14,0.13,Exit_Sub_Main
15,pedestal,0.13,Exit_Sub_Main
16,School Table,0.13,Group 5639
17,Typical School Chair and Table 15,0.13,Exit_Sub_Main
18,pedestal,0.13,Group 5639
19,Typical School Chair and Table 11,0.13,Exit_Sub_Main
20,School Table,0.13,Exit_Sub_Main
21,Typical School Chair and Table 18,0.13,Exit_Sub2
22,School Table,0.13,Exit_Sub_Main
23,School Table,0.13,Group 5639
24,Typical School Chair and Table 17,0.13,Exit_Sub_Main
25,Typical School Chair and Table 16,0.13,Exit_Sub3
26,Typical School Chair and Table 17,0.13,Exit_Sub2
27,Typical School Chair and Table 12,0.13,Exit_Sub_Main
28,School Table,0.13,Exit_Sub1
29,School Table,0.13,Exit_Sub_Main
30,Typical School Chair and Table 3,0.13,Exit_Sub2
31,Typical School Chair and Table 7,0.13,Exit_Sub_Main
32,Typical School Chair and Table 16,0.13,Exit_Sub2
33,pedestal,0.13,Group 5639
34,Typical School Chair and Table 5,0.13,Exit_Sub_Main
35,School Table,0.13,Group 5639
36,Typical School Chair and Table 20,0.13,Exit_Sub1
37,School Table,0.13,Group 5639
38,Typical School Chair and Table 8,0.13,Exit_Sub_Main
39,Typical School Chair and Table 6,0.13,Exit_Sub3
40,Typical School Chair and Table 7,0.13,Exit_Sub_Main
41,Typical School Chair and Table 3,0.13,Exit_Sub_Main
42,School Table,0.13,Group 5639
43,pedestal,0.13,Exit_Sub_Main
44,Typical School Chair and Table 19,0.13,Exit_Sub_Main
45,Typical School Chair and Table 13,0.13,Group 5639
46,School Table,0.13,Exit_Sub2
47,Typical School Chair and Table 8,0.13,Exit_Sub_Main
48,Typical School Chair and Table 18,0.13,Exit_Sub_Main
49,Typical School Chair and Table 9,0.13,Exit_Sub2
50,School Table,0.13,Exit_Sub_Main
51,Typical School Chair and Table 12,0.13,Exit_Sub3
52,Typical School Chair and Table 20,0.13,Exit_Sub1
53,School Table,0.13,Group 5639
54,School Table,0.13,Group 5639
55,Typical School Chair and Table 10,0.13,Exit_Sub_Main
56,Typical School Chair and Table 20,0.13,Exit_Sub_Main
57,Typical School Chair and Table 7,0.13,Group 5639
58,Typical School Chair and Table 11,0.13,Exit_Sub_Main
59,Typical School Chair and Table 7,0.13,Exit_Sub_Main
60,School Table,0.13,Exit_Sub2
61,School Table,0.13,Exit_Sub3
62,Typical School Chair and Table 12,0.13,Exit_Sub_Main
63,Typical School Chair and Table,0.13,Exit_Sub1
64,School Table,0.13,Exit_Sub1
65,School Table,0.13,Exit_Sub3
66,School Table,0.13,Exit_Sub2
67,Typical School Chair and Table 14,0.13,Group 5639
68,School Table,0.13,Exit_Sub2
69,School Table,0.13,Exit_Sub3
70,Typical School Chair and Table 18,0.13,Exit_Sub_Main
71,School Table,0.13,Exit_Sub2
72,Typical School Chair and Table 1,0.13,Exit_Sub_Main
73,Typical School Chair and Table 13,0.13,Group 5639
74,Typical School Chair and Table 17,0.13,Exit_Sub3
75,Typical School Chair and Table 6,0.13,Exit_Sub1
76,School Table,0.13,Group 5639
77,Typical School Chair and Table 13,0.13,Exit_Sub_Main
78,School Table,0.13,Exit_Sub1
79,School Table,0.13,Exit_Sub_Main
80,Typical School Chair and Table 18,0.13,Exit_Sub3
81,School Table,0.13,Group 5639
82,Typical School Chair and Table 5,0.13,Exit_Sub2
83,Typical School Chair and Table 1,0.13,Exit_Sub_Main
84,Typical School Chair and Table 19,0.13,Exit_Sub_Main
85,School Table,0.13,Exit_Sub_Main
86,Typical School Chair and Table 4,0.13,Group 5639
87,School Table,0.13,Exit_Sub_Main
88,School Table,0.13,Exit_Sub2
89,School Table,0.13,Exit_Sub_Main
90,Typical School Chair and Table 6,0.13,Exit_Sub1
91,Typical School Chair and Table 9,0.13,Exit_Sub2
92,Typical School Chair and Table,0.13,Exit_Sub_Main
93,Typical School Chair and Table 5,0.13,Exit_Sub_Main
94,School Table,0.13,Exit_Sub_Main
95,School Table,0.13,Exit_Sub_Main
96,School Table,0.13,Exit_Sub1
97,Typical School Chair and Table 11,0.13,Exit_Sub_Main
98,School Table,0.13,Exit_Sub_Main
99,Typical School Chair and Table 8,0.13,Group 5639
100,School Table,0.13,Exit_Sub2
101,School Table,0.13,Exit_Sub3
102,School Table,0.13,Exit_Sub2
103,Typical School Chair and Table 9,0.13,Exit_Sub_Main
104,School Table,0.13,Exit_Sub2
105,Typical School Chair and Table 12,0.13,Exit_Sub_Main
106,Typical School Chair and Table 7,0.13,Group 5639
107,Typical School Chair and Table 9,0.13,Exit_Sub3
108,School Table,0.13,Exit_Sub_Main
109,School Table,0.13,Group 5639
110,Typical School Chair and Table 17,0.13,Group 5639
111,School Table,0.13,Exit_Sub2
112,School Table,0.13,Group 5639
113,School Table,0.13,Exit_Sub_Main
114,Typical School Chair and Table 12,0.13,Group 5639
115,Typical School Chair and Table 2,0.13,Exit_Sub1
116,School Table,0.13,Exit_Sub2
117,School Table,0.13,Exit_Sub_Main
118,School Table,0.13,Exit_Sub2
119,Typical School Chair and Table 2,0.13,Exit_Sub_Main
