AgentID,SpawnZone,EscapeTime(s),ExitUsed
3,Typical School Chair and Table 11,77.33,Exit_Sub_Main
5,School Table,98.78,Exit_Sub_Main
1,School Table,108.12,Exit_Sub3
2,School Table,110.15,Exit_Sub1
11,School Table,115.70,Exit_Sub3
10,Typical School Chair and Table 14,131.87,Exit_Sub3
15,School Table,132.93,Exit_Sub_Main
9,School Table,132.93,Exit_Sub3
7,School Table,136.46,Exit_Sub_Main
6,School Table,139.43,Exit_Sub2
4,School Table,147.49,Exit_Sub_Main
8,School Table,147.49,Exit_Sub2
14,School Table,166.12,Exit_Sub1
17,Typical School Chair and Table 5,170.20,Exit_Sub2
13,School Table,191.39,Exit_Sub3
18,Typical School Chair and Table 11,200.05,Exit_Sub_Main
12,School Table,221.32,Exit_Sub_Main
21,Typical School Chair and Table 10,232.14,Exit_Sub3
16,School Table,242.04,Exit_Sub_Main
22,Typical School Chair and Table 13,253.94,Exit_Sub_Main
29,School Table,267.39,Exit_Sub3
19,School Table,277.60,Exit_Sub_Main
24,Typical School Chair and Table 20,280.26,Exit_Sub_Main
27,School Table,282.73,Exit_Sub1
20,School Table,282.73,Exit_Sub_Main
23,School Table,287.13,Exit_Sub3
31,Typical School Chair and Table 6,308.09,Exit_Sub2
30,School Table,319.43,Exit_Sub_Main
28,School Table,326.07,Exit_Sub_Main
25,School Table,361.06,Exit_Sub_Main
35,Typical School Chair and Table 10,365.83,Exit_Sub2
26,School Table,377.62,Exit_Sub_Main
33,School Table,384.20,Exit_Sub1
42,School Table,384.70,Exit_Sub_Main
40,School Table,385.15,Exit_Sub2
32,School Table,389.44,Exit_Sub_Main
44,Typical School Chair and Table 9,395.58,Exit_Sub3
34,Typical School Chair and Table 18,396.24,Exit_Sub3
41,Typical School Chair and Table 3,399.13,Exit_Sub3
37,School Table,451.21,Exit_Sub_Main
49,Typical School Chair and Table 3,457.20,Exit_Sub_Main
36,Typical School Chair and Table 13,461.10,Exit_Sub_Main
39,Typical School Chair and Table 9,471.18,Exit_Sub_Main
51,Typical School Chair and Table 15,473.03,Exit_Sub_Main
38,Typical School Chair and Table,482.84,Exit_Sub_Main
55,School Table,494.07,Exit_Sub_Main
48,School Table,496.87,Exit_Sub2
43,School Table,507.89,Exit_Sub3
52,Typical School Chair and Table 13,514.94,Exit_Sub_Main
46,Typical School Chair and Table 1,521.81,Exit_Sub_Main
57,Typical School Chair and Table 7,533.88,Exit_Sub2
50,School Table,535.79,Exit_Sub_Main
58,Typical School Chair and Table 1,542.06,Exit_Sub_Main
45,Typical School Chair and Table 5,549.67,Exit_Sub_Main
47,Typical School Chair and Table 13,552.95,Exit_Sub_Main
54,School Table,553.44,Exit_Sub3
63,Typical School Chair and Table 5,597.25,Exit_Sub_Main
56,School Table,600.55,Exit_Sub_Main
64,Typical School Chair and Table 19,601.91,Exit_Sub1
62,School Table,602.36,Exit_Sub3
59,School Table,603.37,Exit_Sub2
60,School Table,606.33,Exit_Sub_Main
65,Typical School Chair and Table 10,612.36,Exit_Sub3
53,School Table,618.46,Exit_Sub_Main
66,Typical School Chair and Table 5,650.46,Exit_Sub3
61,Typical School Chair and Table 14,653.69,Exit_Sub_Main
74,School Table,666.34,Exit_Sub3
70,Typical School Chair and Table 17,669.33,Exit_Sub_Main
69,School Table,675.96,Exit_Sub_Main
81,Typical School Chair and Table 1,682.00,Exit_Sub2
79,Typical School Chair and Table 12,687.08,Exit_Sub_Main
68,Typical School Chair and Table 2,691.64,Exit_Sub2
78,Typical School Chair and Table 7,691.64,Exit_Sub3
72,Typical School Chair and Table 6,715.16,Exit_Sub_Main
76,School Table,715.63,Exit_Sub1
73,School Table,716.09,Exit_Sub3
71,School Table,726.58,Exit_Sub_Main
67,water tank,740.67,Exit_Sub2
92,Typical School Chair and Table 9,747.48,Exit_Sub_Main
91,School Table,747.91,Exit_Sub2
82,Typical School Chair and Table 2,750.74,Exit_Sub1
84,Typical School Chair and Table 20,751.65,Exit_Sub3
80,Typical School Chair and Table 12,759.46,Exit_Sub_Main
77,School Table,764.37,Exit_Sub2
85,Typical School Chair and Table 11,769.41,Exit_Sub_Main
90,Typical School Chair and Table 12,771.22,Exit_Sub2
86,Typical School Chair and Table 15,773.07,Exit_Sub3
96,School Table,782.61,Exit_Sub3
87,School Table,784.82,Exit_Sub_Main
75,Typical School Chair and Table 6,787.17,Exit_Sub2
88,School Table,792.18,Exit_Sub_Main
94,School Table,802.99,Exit_Sub1
83,Typical School Chair and Table 4,804.79,Exit_Sub_Main
101,School Table,811.18,Exit_Sub_Main
97,School Table,812.97,Exit_Sub2
89,Typical School Chair and Table,817.64,Exit_Sub1
103,School Table,818.08,Exit_Sub3
93,School Table,828.39,Exit_Sub1
99,School Table,829.25,Exit_Sub_Main
95,Typical School Chair and Table 9,837.41,Exit_Sub_Main
109,Typical School Chair and Table 12,860.34,Exit_Sub_Main
102,School Table,868.47,Exit_Sub2
105,Typical School Chair and Table 16,879.32,Exit_Sub2
106,School Table,885.37,Exit_Sub_Main
107,Typical School Chair and Table 7,886.81,Exit_Sub3
100,School Table,919.48,Exit_Sub_Main
114,Typical School Chair and Table 10,929.27,Exit_Sub2
104,School Table,945.27,Exit_Sub_Main
112,Typical School Chair and Table 6,951.03,Exit_Sub3
108,Typical School Chair and Table 6,960.15,Exit_Sub_Main
116,School Table,974.79,Exit_Sub3
110,Typical School Chair and Table 9,988.08,Exit_Sub_Main
119,School Table,990.72,Exit_Sub1
120,Typical School Chair and Table 14,992.91,Exit_Sub2
115,Typical School Chair and Table 3,994.77,Exit_Sub2
111,School Table,1005.04,Exit_Sub2
113,School Table,1020.60,Exit_Sub_Main
118,Typical School Chair and Table 3,1023.31,Exit_Sub3
124,School Table,1032.99,Exit_Sub2
121,Typical School Chair and Table 15,1036.96,Exit_Sub2
127,Typical School Chair and Table 17,1037.42,Exit_Sub_Main
126,School Table,1046.14,Exit_Sub3
122,School Table,1050.96,Exit_Sub_Main
117,School Table,1055.51,Exit_Sub_Main
131,Typical School Chair and Table 7,1063.02,Exit_Sub1
125,Typical School Chair and Table 2,1069.39,Exit_Sub1
123,School Table,1069.39,Exit_Sub_Main
130,School Table,1073.93,Exit_Sub_Main
129,Typical School Chair and Table 6,1078.34,Exit_Sub1
135,School Table,1082.34,Exit_Sub3
128,Typical School Chair and Table 4,1100.80,Exit_Sub_Main
133,Typical School Chair and Table 4,1104.44,Exit_Sub_Main
140,School Table,1115.79,Exit_Sub2
136,School Table,1117.60,Exit_Sub3
143,Typical School Chair and Table 2,1132.52,Exit_Sub3
141,Typical School Chair and Table 1,1144.29,Exit_Sub_Main
146,Typical School Chair and Table 16,1154.24,Exit_Sub2
139,Typical School Chair and Table 20,1156.48,Exit_Sub3
134,Typical School Chair and Table 11,1161.29,Exit_Sub_Main
149,School Table,1170.35,Exit_Sub_Main
137,Typical School Chair and Table 9,1177.12,Exit_Sub_Main
138,School Table,1177.98,Exit_Sub2
