Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor (1),Zone_ZoneSensor stair (4)_noSmartSign
0.00,0,1000,0.0000,648,245,238,84,433,648,0
1.41,0,1000,0.0000,648,245,238,84,433,648,0
2.84,0,1000,0.0000,648,245,238,84,433,648,0
3.93,0,1000,0.0000,648,245,238,84,433,648,0
5.10,0,1000,0.0000,648,245,238,84,433,648,0
6.50,0,1000,0.0000,648,245,238,84,433,648,0
7.87,0,1000,0.0000,648,245,238,84,433,648,0
9.24,0,1000,0.0000,648,245,238,84,433,648,0
10.66,0,1000,0.0000,648,245,238,84,433,648,0
12.04,0,1000,0.0000,648,245,238,84,433,648,0
13.41,0,1000,0.0000,648,245,238,84,433,648,0
14.77,0,1000,0.0000,648,245,238,84,433,648,0
16.14,0,1000,0.0000,648,245,238,84,433,648,0
17.52,0,1000,0.0000,648,245,238,84,433,648,0
18.90,0,1000,0.0000,648,245,238,84,433,648,0
20.28,0,1000,0.0015,648,245,238,84,433,648,0
21.66,0,1000,0.0012,648,245,238,84,433,648,0
23.04,0,1000,0.0012,648,245,238,84,433,648,0
24.42,0,1000,0.0007,648,245,238,84,433,648,0
25.79,0,1000,0.0004,648,245,238,84,433,648,0
27.19,0,1000,0.0002,648,245,238,84,433,648,0
28.57,0,1000,0.0035,648,245,238,84,433,648,0
29.94,0,1000,0.0045,648,245,238,84,433,648,0
31.35,0,1000,0.0045,648,245,238,84,433,648,0
32.78,0,1000,0.0045,648,245,238,84,433,648,0
34.15,0,1000,0.0045,648,245,238,84,433,648,0
35.53,0,1000,0.0045,648,245,238,84,433,648,0
36.91,0,1000,0.0045,648,245,238,84,433,648,0
38.28,1,999,0.0030,648,245,238,83,433,648,0
39.69,1,999,0.0027,648,245,238,83,433,648,0
41.10,1,999,0.0030,648,245,238,83,433,648,0
42.48,1,999,0.0030,648,245,238,83,433,648,0
43.85,1,999,0.0030,648,245,238,83,433,648,0
45.23,1,999,0.0030,648,245,238,83,433,648,0
46.61,1,999,0.0030,648,245,238,83,433,648,0
47.98,2,998,0.0044,648,245,237,83,433,648,0
49.38,2,998,0.0046,648,245,237,83,433,648,0
50.76,2,998,0.0049,648,245,237,83,433,648,0
52.13,2,998,0.0057,648,245,237,83,433,648,0
53.53,2,998,0.0059,648,245,237,83,433,648,0
54.91,2,998,0.0057,648,245,237,83,433,648,0
56.26,2,998,0.0059,648,245,237,83,433,648,0
57.65,2,998,0.0059,648,245,237,83,433,648,0
59.01,2,998,0.0082,648,245,237,83,433,648,0
60.39,2,998,0.0079,648,245,237,83,433,648,0
61.78,2,998,0.0077,648,245,237,83,433,648,0
63.16,2,998,0.0075,648,245,237,83,433,648,0
64.51,2,998,0.0076,648,245,237,83,433,648,0
65.86,2,998,0.0072,648,245,237,83,433,648,0
67.24,2,998,0.0098,648,245,237,83,433,648,0
68.60,2,998,0.0096,648,245,237,83,433,648,0
69.97,2,998,0.0127,648,245,237,83,433,648,0
71.33,2,998,0.0121,648,245,237,83,433,648,0
72.70,2,998,0.0121,648,245,237,83,433,648,0
74.06,2,998,0.0123,648,245,237,83,433,648,0
75.48,2,998,0.0158,648,245,237,83,433,648,0
76.85,2,998,0.0155,648,245,237,83,433,648,0
78.22,2,998,0.0146,648,245,237,83,433,648,0
79.57,2,998,0.0140,648,245,237,83,433,648,0
80.93,2,998,0.0144,648,245,237,83,433,648,0
82.29,2,998,0.0159,648,245,237,83,433,648,0
83.65,2,998,0.0165,648,245,237,83,433,648,0
85.01,2,998,0.0171,648,245,237,83,433,648,0
86.36,2,998,0.0181,648,245,237,83,433,648,0
87.74,2,998,0.0186,648,245,237,83,433,648,0
89.10,2,998,0.0198,648,245,237,83,433,648,0
90.45,2,998,0.0213,648,245,237,83,433,648,0
91.82,2,998,0.0220,648,245,237,83,433,648,0
93.20,2,998,0.0228,648,245,237,83,433,648,0
94.56,2,998,0.0221,648,245,237,83,433,648,0
95.92,2,998,0.0215,648,245,237,83,433,648,0
97.34,2,998,0.0224,648,245,237,83,433,648,0
98.70,2,998,0.0218,648,245,237,83,433,648,0
100.06,3,997,0.0201,650,245,237,83,432,650,0
101.46,3,997,0.0199,650,245,237,83,432,650,0
102.86,3,997,0.0210,650,245,237,83,432,650,0
104.21,3,997,0.0192,650,245,237,83,432,650,0
105.56,3,997,0.0203,650,245,237,83,432,650,0
106.92,3,997,0.0197,650,245,237,83,432,650,0
108.32,4,996,0.0192,650,245,237,83,431,650,0
109.68,4,996,0.0214,650,245,237,83,431,650,0
111.10,4,996,0.0222,650,245,237,83,431,650,0
112.52,5,995,0.0216,650,245,237,83,430,650,0
113.95,5,995,0.0212,650,245,237,83,430,650,0
114.95,5,995,0.0221,650,245,237,83,430,650,0
116.33,5,995,0.0204,650,245,237,83,430,650,0
117.53,5,995,0.0207,650,245,237,83,430,650,0
118.72,5,995,0.0195,650,245,237,83,430,650,0
120.12,5,995,0.0198,650,245,237,83,430,650,0
121.48,5,995,0.0191,650,245,237,83,430,650,0
122.86,5,995,0.0199,650,245,237,83,430,650,2
124.22,5,995,0.0197,650,245,237,83,430,650,2
