AgentID,SpawnZone,EscapeTime(s),ExitUsed
105,stand,1.86,Exit_Sub3
3,Typical School Chair and Table 4,138.61,Exit_Sub_Main
2,School Table,141.89,Exit_Sub_Main
1,School Table,144.70,Exit_Sub_Main
8,School Table,159.69,Exit_Sub_Main
6,School Table,171.56,Exit_Sub_Main
9,School Table,192.26,ZoneSensor stair (11)
4,School Table,193.72,Exit_Sub_Main
5,Typical School Chair and Table 19,229.97,Exit_Sub2
7,Typical School Chair and Table 5,235.77,Exit_Sub_Main
16,School Table,243.31,ZoneSensor stair (11)
10,School Table,246.07,Exit_Sub_Main
13,School Table,269.88,Exit_Sub2
12,School Table,270.32,Exit_Sub_Main
17,School Table,271.74,Exit_Sub_Main
11,Typical School Chair and Table 8,279.82,Exit_Sub_Main
15,Typical School Chair and Table 13,288.41,Exit_Sub2
22,Typical School Chair and Table 10,290.72,ZoneSensor stair (11)
14,School Table,304.12,Exit_Sub_Main
18,School Table,324.82,Exit_Sub_Main
26,School Table,327.11,Exit_Sub_Main
21,Typical School Chair and Table 2,328.96,Exit_Sub1
20,School Table,334.86,Exit_Sub2
25,School Table,360.70,ZoneSensor stair (11)
23,Typical School Chair and Table 17,368.86,ZoneSensor stair (11)
29,Typical School Chair and Table 8,375.20,ZoneSensor stair (11)
28,School Table,377.97,ZoneSensor stair (11)
36,School Table,382.15,ZoneSensor stair (11)
24,School Table,392.87,Exit_Sub_Main
31,Typical School Chair and Table 3,399.48,Exit_Sub2
33,School Table,400.37,Exit_Sub2
32,Typical School Chair and Table 16,417.87,Exit_Sub2
19,Typical School Chair and Table 11,425.52,Exit_Sub_Main
27,School Table,428.25,Exit_Sub3
41,Typical School Chair and Table 4,438.44,Exit_Sub_Main
30,Typical School Chair and Table 5,443.35,Exit_Sub3
39,Typical School Chair and Table 6,444.24,ZoneSensor stair (11)
44,pedestal,449.65,Exit_Sub3
34,Typical School Chair and Table 4,466.17,Exit_Sub_Main
37,School Table,484.93,Exit_Sub2
35,School Table,499.03,Exit_Sub_Main
51,Typical School Chair and Table,522.94,Exit_Sub1
47,School Table,530.41,Exit_Sub_Main
42,Typical School Chair and Table 14,535.46,Exit_Sub_Main
45,School Table,535.89,ZoneSensor stair (11)
38,Typical School Chair and Table 6,536.34,Exit_Sub2
48,School Table,539.90,Exit_Sub2
49,School Table,541.20,Exit_Sub2
46,School Table,552.21,Exit_Sub2
40,School Table,569.79,Exit_Sub_Main
43,School Table,571.51,Exit_Sub_Main
62,Typical School Chair and Table 8,577.49,Exit_Sub2
59,Typical School Chair and Table 20,583.23,Exit_Sub2
52,Typical School Chair and Table 19,588.10,Exit_Sub1
61,School Table,606.95,Exit_Sub2
50,Typical School Chair and Table 18,609.65,Exit_Sub2
68,Typical School Chair and Table 5,611.85,Exit_Sub3
56,School Table,613.23,Exit_Sub1
66,Typical School Chair and Table 13,615.90,Exit_Sub_Main
65,Typical School Chair and Table 12,628.15,Exit_Sub_Main
58,School Table,637.60,Exit_Sub1
60,School Table,638.54,Exit_Sub_Main
57,Typical School Chair and Table 10,639.90,Exit_Sub_Main
73,Typical School Chair and Table 13,646.39,Exit_Sub_Main
53,Typical School Chair and Table 19,647.25,Exit_Sub2
70,School Table,649.93,ZoneSensor stair (11)
55,Typical School Chair and Table 7,658.18,Exit_Sub_Main
78,Typical School Chair and Table 12,660.38,Exit_Sub2
63,Typical School Chair and Table 5,666.89,Exit_Sub_Main
54,Typical School Chair and Table 2,668.21,Exit_Sub2
71,School Table,669.99,ZoneSensor stair (11)
76,School Table,676.06,Exit_Sub3
82,Typical School Chair and Table 12,682.43,Exit_Sub2
72,School Table,684.17,Exit_Sub_Main
85,Typical School Chair and Table 16,684.62,Exit_Sub_Main
64,Typical School Chair and Table 1,685.98,Exit_Sub_Main
67,Typical School Chair and Table 8,686.44,Exit_Sub2
75,Typical School Chair and Table 15,704.21,Exit_Sub2
83,School Table,711.99,Exit_Sub3
69,Typical School Chair and Table 2,716.84,Exit_Sub_Main
74,School Table,721.67,Exit_Sub_Main
84,School Table,730.67,Exit_Sub1
80,School Table,731.96,Exit_Sub2
77,Typical School Chair and Table 7,747.93,Exit_Sub_Main
90,School Table,748.37,Exit_Sub1
81,School Table,756.96,Exit_Sub2
93,Typical School Chair and Table 19,771.64,ZoneSensor stair (11)
87,Typical School Chair and Table 13,773.47,Exit_Sub_Main
89,Typical School Chair and Table 3,774.84,Exit_Sub1
88,Typical School Chair and Table 2,779.13,Exit_Sub2
79,Typical School Chair and Table 11,779.98,Exit_Sub3
92,Typical School Chair and Table 4,794.96,Exit_Sub_Main
94,Typical School Chair and Table 10,803.56,ZoneSensor stair (11)
101,School Table,812.97,Exit_Sub1
98,School Table,819.45,Exit_Sub2
100,Typical School Chair and Table 14,828.99,Exit_Sub_Main
107,Typical School Chair and Table 3,830.28,Exit_Sub2
86,School Table,833.71,Exit_Sub2
111,pedestal,840.23,Exit_Sub3
97,Typical School Chair and Table 3,848.70,ZoneSensor stair (11)
108,School Table,851.30,Exit_Sub1
106,School Table,854.85,ZoneSensor stair (11)
99,School Table,856.55,ZoneSensor stair (11)
91,Typical School Chair and Table 16,864.27,Exit_Sub2
114,School Table,866.90,ZoneSensor stair (11)
118,pedestal,879.06,Exit_Sub2
95,Typical School Chair and Table 9,884.62,Exit_Sub_Main
112,School Table,885.89,ZoneSensor stair (11)
104,School Table,890.50,Exit_Sub1
116,School Table,901.84,Exit_Sub1
102,Typical School Chair and Table 11,902.25,Exit_Sub_Main
96,Typical School Chair and Table 14,919.83,Exit_Sub_Main
103,School Table,927.39,Exit_Sub3
110,School Table,929.99,Exit_Sub1
117,School Table,943.58,ZoneSensor stair (11)
125,Typical School Chair and Table 16,949.66,ZoneSensor stair (11)
127,School Table,957.68,Exit_Sub2
115,School Table,964.40,ZoneSensor stair (11)
113,School Table,970.31,Exit_Sub2
109,School Table,978.64,Exit_Sub_Main
124,School Table,978.64,Exit_Sub_Main
126,School Table,989.81,Exit_Sub3
119,Typical School Chair and Table 11,1004.89,Exit_Sub3
121,School Table,1026.63,Exit_Sub_Main
