AgentID,SpawnZone,EscapeTime(s),ExitUsed,Seed,ActiveSigns
926,stand,0.55,Exit_Sub3,0,0
542,pedestal,16.82,Exit_Sub3,0,0
735,Typical School Chair and Table 10,17.42,Exit_Sub3,0,0
405,Typical School Chair and Table 5,21.25,Exit_Sub_Main,0,0
433,School Table,22.81,Exit_Sub2,0,0
851,School Table,26.78,Exit_Sub2,0,0
452,Typical School Chair and Table 17,27.49,Exit_Sub_Main,0,0
686,Typical School Chair and Table 14,30.33,Exit_Sub3,0,0
229,pedestal,32.44,Exit_Sub3,0,0
613,pedestal,32.44,Exit_Sub3,0,0
61,Typical School Chair and Table 5,33.43,Exit_Sub3,0,0
249,School Table,33.71,Exit_Sub_Main,0,0
718,School Table,36.21,Exit_Sub3,0,0
853,Typical School Chair and Table 12,38.03,Exit_Sub_Main,0,0
336,pedestal,38.71,Exit_Sub3,0,0
790,Typical School Chair and Table 3,38.97,Exit_Sub_Main,0,0
675,Typical School Chair and Table 7,41.40,Exit_Sub1,0,0
491,School Table,42.33,Exit_Sub2,0,0
169,Typical School Chair and Table 3,44.39,Exit_Sub2,0,0
194,Typical School Chair and Table 17,44.56,Exit_Sub_Main,0,0
822,Typical School Chair and Table 9,44.89,Exit_Sub3,0,0
520,pedestal,46.36,Exit_Sub3,0,0
265,Typical School Chair and Table 14,48.23,Exit_Sub_Main,0,0
589,pedestal,49.46,Exit_Sub2,0,0
485,School Table,50.05,Exit_Sub1,0,0
765,School Table,50.71,Exit_Sub1,0,0
638,School Table,51.17,Exit_Sub_Main,0,0
919,Typical School Chair and Table 1,51.27,Exit_Sub_Main,0,0
914,pedestal,51.59,Exit_Sub1,0,0
108,School Table,51.92,Exit_Sub3,0,0
626,Typical School Chair and Table 3,52.89,Exit_Sub2,0,0
717,School Table,53.77,Exit_Sub2,0,0
394,Typical School Chair and Table 17,55.69,Exit_Sub2,0,0
48,School Table,56.84,Exit_Sub_Main,0,0
155,School Table,57.15,Exit_Sub3,0,0
295,Typical School Chair and Table 19,57.78,Exit_Sub3,0,0
166,Typical School Chair and Table 16,58.39,Exit_Sub2,0,0
654,Typical School Chair and Table 11,58.63,Exit_Sub_Main,0,0
954,School Table,58.81,Exit_Sub_Main,0,0
843,Typical School Chair and Table,58.81,Exit_Sub_Main,0,0
955,Typical School Chair and Table,58.99,Exit_Sub_Main,0,0
447,Typical School Chair and Table 2,59.13,Exit_Sub3,0,0
630,School Table,61.45,Exit_Sub3,0,0
671,School Table,61.66,Exit_Sub1,0,0
722,School Table,61.81,Exit_Sub_Main,0,0
343,Typical School Chair and Table 12,62.34,Exit_Sub2,0,0
736,Typical School Chair and Table 17,66.63,Exit_Sub_Main,0,0
317,Group 5639,66.73,Exit_Sub3,0,0
548,Typical School Chair and Table 12,67.24,Exit_Sub2,0,0
835,Typical School Chair and Table 15,67.33,Exit_Sub2,0,0
82,School Table,69.90,Exit_Sub1,0,0
789,Typical School Chair and Table 15,70.31,Exit_Sub1,0,0
845,Typical School Chair and Table 1,70.52,Exit_Sub_Main,0,0
14,Typical School Chair and Table 1,71.33,Exit_Sub3,0,0
384,Typical School Chair and Table 13,71.61,Exit_Sub3,0,0
658,Typical School Chair and Table 7,72.56,Exit_Sub2,0,0
132,School Table,73.35,Exit_Sub_Main,0,0
200,Typical School Chair and Table 14,73.59,Exit_Sub3,0,0
495,Typical School Chair and Table 14,75.61,Exit_Sub2,0,0
205,School Table,75.91,Exit_Sub3,0,0
798,School Table,76.67,Exit_Sub_Main,0,0
36,School Table,77.09,Exit_Sub2,0,0
51,School Table,77.45,Exit_Sub3,0,0
356,Typical School Chair and Table 5,77.91,Exit_Sub_Main,0,0
761,School Table,78.14,Exit_Sub_Main,0,0
769,School Table,78.34,Exit_Sub3,0,0
344,School Table,78.54,Exit_Sub1,0,0
901,School Table,78.67,Exit_Sub_Main,0,0
