Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Group 5639,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair (4)_noSmartSign,Zone_ZoneSensor (1)
0.00,0,250,0.0000,0,49,26,55,26,94,0,0
1.00,3,247,0.0286,0,47,25,55,26,94,0,0
2.02,3,247,0.0498,0,47,25,55,26,94,0,0
3.03,3,247,0.0966,0,47,25,55,26,94,0,0
4.03,3,247,0.1128,0,47,25,55,26,94,0,0
5.05,3,247,0.1260,0,47,25,55,26,94,0,0
6.05,3,247,0.1343,0,47,25,55,26,94,0,0
7.06,3,247,0.1719,0,47,25,55,26,94,0,0
8.06,3,247,0.1893,0,47,25,55,26,94,0,0
9.07,3,247,0.2258,0,47,25,55,26,94,0,0
10.07,3,247,0.2415,0,47,25,55,26,94,0,0
11.08,4,246,0.2530,0,47,25,55,26,93,0,0
12.08,4,246,0.3106,0,47,25,55,26,93,0,0
13.09,5,245,0.3204,0,47,25,55,25,93,0,0
14.11,5,245,0.3525,0,47,25,55,25,93,0,0
15.12,5,245,0.3560,0,47,25,55,25,93,0,0
16.12,5,245,0.3795,0,47,25,55,25,93,0,0
17.13,6,244,0.3831,0,47,24,55,25,93,0,0
18.14,6,244,0.3924,0,47,24,55,25,93,0,0
19.16,7,243,0.4020,0,47,23,55,25,93,0,0
20.16,7,243,0.4471,0,47,23,55,25,93,0,0
21.22,8,242,0.4040,0,47,22,55,25,93,0,0
22.25,8,242,0.4060,0,47,22,55,25,93,0,0
23.30,8,242,0.4073,0,47,22,55,25,93,0,0
24.35,8,242,0.4091,0,47,22,55,25,93,0,0
25.41,8,242,0.4206,0,47,22,55,25,93,0,0
26.43,8,242,0.4247,2,47,22,55,25,93,0,2
27.56,9,241,0.4125,2,47,21,55,25,93,0,2
28.61,9,241,0.4155,2,47,21,55,25,93,0,2
29.64,11,239,0.4116,2,47,21,54,25,92,0,2
30.69,11,239,0.4280,2,47,21,54,25,92,0,2
31.71,11,239,0.4153,2,47,21,54,25,92,0,2
32.79,12,238,0.4129,2,47,21,54,24,92,0,2
33.82,13,237,0.4079,2,47,21,53,24,92,2,2
34.94,13,237,0.4035,2,47,21,53,24,92,2,2
35.96,13,237,0.4023,4,47,21,53,24,92,4,2
37.00,13,237,0.4054,4,47,21,53,24,92,4,4
38.09,13,237,0.4106,4,47,21,53,24,92,4,4
39.21,14,236,0.4182,4,47,21,53,24,91,4,4
40.35,14,236,0.4288,4,47,21,53,24,91,2,4
41.37,15,235,0.4220,4,47,21,53,24,90,0,4
42.51,16,234,0.4188,4,46,21,53,24,90,0,4
43.57,16,234,0.4211,4,46,21,53,24,90,0,4
44.66,16,234,0.4163,4,46,21,53,24,90,0,4
45.67,17,233,0.4105,6,46,21,53,24,89,0,6
46.73,19,231,0.4081,6,46,21,52,24,88,0,6
47.81,19,231,0.4257,6,46,21,52,24,88,0,6
48.96,21,229,0.4218,6,45,21,51,24,88,0,6
50.02,23,227,0.4169,6,45,20,51,23,88,0,6
51.12,24,226,0.4069,8,45,20,50,23,88,2,8
52.21,25,225,0.4056,8,45,20,50,23,87,2,8
53.33,27,223,0.3965,10,45,20,50,22,86,2,10
54.41,29,221,0.3882,10,44,20,50,22,85,2,10
55.77,29,221,0.3987,10,44,20,50,22,85,2,10
56.79,29,221,0.3915,10,44,20,50,22,85,2,10
57.84,29,221,0.3942,10,44,20,50,22,85,0,10
58.87,29,221,0.4043,10,44,20,50,22,85,0,10
59.92,29,221,0.4070,10,44,20,50,22,85,0,10
60.95,29,221,0.4061,12,44,20,50,22,85,0,12
62.00,31,219,0.4016,12,44,20,49,22,84,0,12
63.08,31,219,0.4108,14,44,20,49,22,84,0,14
64.13,33,217,0.3973,14,43,20,49,22,83,0,14
65.18,33,217,0.3986,14,43,20,49,22,83,0,14
66.18,33,217,0.3984,14,43,20,49,22,83,0,14
67.32,33,217,0.4049,14,43,20,49,22,83,0,14
68.38,33,217,0.4209,14,43,20,49,22,83,0,14
69.53,35,215,0.4182,14,42,19,49,22,83,0,14
70.58,35,215,0.4458,14,42,19,49,22,83,0,14
71.69,35,215,0.4419,14,42,19,49,22,83,0,14
72.78,36,214,0.4364,14,42,19,48,22,83,0,14
73.90,36,214,0.4478,14,42,19,48,22,83,0,14
74.92,36,214,0.4550,14,42,19,48,22,83,0,14
75.98,37,213,0.4542,14,41,19,48,22,83,0,14
77.03,38,212,0.4507,14,41,19,48,22,82,0,14
78.13,39,211,0.4573,14,41,19,48,22,81,0,14
79.19,40,210,0.4473,14,41,19,48,22,80,0,14
80.33,42,208,0.4359,14,41,18,48,22,79,0,14
81.34,42,208,0.4450,14,41,18,48,22,79,0,14
82.46,43,207,0.4450,14,40,18,48,22,79,0,14
83.60,43,207,0.4372,14,40,18,48,22,79,0,14
84.70,44,206,0.4384,14,40,17,48,22,79,0,14
85.83,44,206,0.4422,14,40,17,48,22,79,0,14
86.97,47,203,0.4363,14,39,17,47,21,79,0,14
88.04,48,202,0.4253,14,38,17,47,21,79,0,14
89.18,49,201,0.4212,14,37,17,47,21,79,0,14
90.23,49,201,0.4348,14,37,17,47,21,79,0,14
91.38,49,201,0.4432,14,37,17,47,21,79,0,14
92.39,50,200,0.4459,14,36,17,47,21,79,0,14
93.41,51,199,0.4389,14,35,17,47,21,79,0,14
94.42,51,199,0.4492,14,35,17,47,21,79,0,14
95.53,51,199,0.4432,14,35,17,47,21,79,0,14
96.63,54,196,0.4264,14,35,17,47,20,77,0,14
97.65,54,196,0.4325,14,35,17,47,20,77,0,14
98.71,55,195,0.4252,14,35,16,47,20,77,0,14
99.80,55,195,0.4252,14,35,16,47,20,77,0,14
100.93,57,193,0.4266,14,34,16,46,20,77,0,14
101.94,58,192,0.4185,14,33,16,46,20,77,0,14
102.98,60,190,0.4155,14,33,16,45,20,76,0,14
104.06,61,189,0.4065,14,33,16,45,20,75,0,14
105.12,61,189,0.4174,14,33,16,45,20,75,0,14
106.26,62,188,0.4183,14,33,16,45,20,74,0,14
107.29,63,187,0.4138,14,33,16,45,20,73,0,14
108.30,63,187,0.4183,14,33,16,45,20,73,0,14
109.37,63,187,0.4293,14,33,16,45,20,73,0,14
110.42,65,185,0.4270,14,32,16,45,20,72,0,14
111.51,67,183,0.4243,16,32,15,44,20,72,0,16
112.60,69,181,0.4186,16,32,15,44,20,70,0,16
113.75,70,180,0.4100,16,32,15,44,20,69,0,16
114.83,71,179,0.4104,16,32,15,44,20,68,0,16
115.89,71,179,0.4081,16,32,15,44,20,68,0,16
116.98,71,179,0.4193,16,32,15,44,20,68,0,16
118.03,73,177,0.4101,16,32,15,43,20,67,0,16
119.05,73,177,0.4060,16,32,15,43,20,67,0,16
120.08,74,176,0.3960,18,32,15,43,20,66,0,18
121.13,76,174,0.3846,18,32,14,43,20,65,2,18
122.23,78,172,0.3789,18,32,14,43,20,63,2,18
123.29,78,172,0.3971,18,32,14,43,20,63,2,18
124.40,78,172,0.4140,18,32,14,43,20,63,2,18
125.44,79,171,0.4126,18,32,14,43,20,62,2,18
126.45,79,171,0.4125,18,32,14,43,20,62,2,18
127.46,79,171,0.4150,18,32,14,43,20,62,0,18
128.47,80,170,0.4259,18,32,14,43,20,61,0,18
129.54,81,169,0.4257,18,32,13,43,20,61,0,18
130.60,81,169,0.4276,18,32,13,43,20,61,0,18
131.61,81,169,0.4282,18,32,13,43,20,61,0,18
132.66,81,169,0.4266,18,32,13,43,20,61,0,18
133.71,82,168,0.4247,18,32,13,43,19,61,0,18
134.80,82,168,0.4243,18,32,13,43,19,61,0,18
135.87,82,168,0.4297,18,32,13,43,19,61,0,18
136.88,85,165,0.4298,18,31,13,42,19,60,0,18
137.95,88,162,0.4249,20,31,13,41,19,58,0,20
139.03,89,161,0.4197,20,31,13,41,19,57,0,20
140.10,89,161,0.4261,20,31,13,41,19,57,0,20
141.21,90,160,0.4282,20,30,13,41,19,57,0,20
142.27,93,157,0.4138,20,30,12,41,19,55,0,20
143.27,94,156,0.4311,20,29,12,41,19,55,0,20
144.34,96,154,0.4241,20,28,11,41,19,55,2,20
145.37,96,154,0.4370,20,28,11,41,19,55,2,20
146.42,96,154,0.4264,20,28,11,41,19,55,2,20
147.50,96,154,0.4465,20,28,11,41,19,55,2,20
148.52,96,154,0.4618,20,28,11,41,19,55,2,20
149.54,97,153,0.4570,20,28,11,40,19,55,0,20
150.64,98,152,0.4662,22,28,11,40,19,54,0,22
151.67,100,150,0.4587,22,28,11,39,19,53,0,22
152.77,100,150,0.4561,24,28,11,39,19,53,0,24
153.79,100,150,0.4633,24,28,11,39,19,53,0,24
154.90,101,149,0.4881,24,28,11,38,19,53,0,24
156.00,101,149,0.5076,22,28,11,38,19,53,0,22
157.12,104,146,0.4941,22,28,11,38,18,51,0,22
158.23,104,146,0.5011,22,28,11,38,18,51,0,22
159.26,104,146,0.5027,22,28,11,38,18,51,0,22
160.33,105,145,0.4791,24,28,11,37,18,51,0,24
161.41,106,144,0.4789,24,28,10,37,18,51,0,24
162.53,110,140,0.4618,24,28,10,36,17,49,0,24
163.61,111,139,0.4555,24,28,10,36,16,49,0,24
164.67,112,138,0.4463,24,28,10,35,16,49,0,24
165.71,113,137,0.4279,24,28,10,34,16,49,0,24
166.75,113,137,0.4524,24,28,10,34,16,49,0,24
167.82,113,137,0.4762,24,28,10,34,16,49,0,24
168.82,113,137,0.4845,24,28,10,34,16,49,0,24
169.83,114,136,0.4722,24,27,10,34,16,49,0,24
